period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,Bidder Betty,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Betty
0,1,1.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Andy
0,2,2.0,Bidder Charles,bid,2.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 2.0}",Bidder Charles
1,0,2.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 10.0}",Bidder Charles
1,1,4.0,Bidder Betty,bid,3.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Charles
1,2,6.0,Bidder Andy,bid,5.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Charles
2,0,10.0,Bidder Betty,bid,10.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 10.0}",Bidder Betty
2,1,11.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles
2,2,13.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles
3,0,13.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles
3,1,15.0,Bidder Betty,bid,15.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 15.0, 'Bidder Charles': 15.0}",Bidder Betty
3,2,16.0,Bidder Charles,bid,20.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles
4,0,18.0,Bidder Andy,bid,17.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles
4,1,20.0,Bidder Betty,bid,19.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 19.0, 'Bidder Charles': 20.0}",Bidder Charles
4,2,20.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 19.0, 'Bidder Charles': 25.0}",Bidder Charles
5,0,22.0,Bidder Andy,bid,21.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 19.0, 'Bidder Charles': 25.0}",Bidder Charles
5,1,22.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 19.0, 'Bidder Charles': 25.0}",Bidder Charles
5,2,24.0,Bidder Betty,bid,23.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 23.0, 'Bidder Charles': 25.0}",Bidder Charles
6,0,25.0,Bidder Betty,bid,25.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty
6,1,25.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty
6,2,25.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty
7,0,26.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 25.0, 'Bidder Charles': 30.0}",Bidder Charles
7,1,28.0,Bidder Betty,bid,27.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 27.0, 'Bidder Charles': 30.0}",Bidder Charles
7,2,28.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 27.0, 'Bidder Charles': 30.0}",Bidder Charles
8,0,30.0,Bidder Betty,bid,29.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 29.0, 'Bidder Charles': 30.0}",Bidder Charles
8,1,30.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 29.0, 'Bidder Charles': 30.0}",Bidder Charles
8,2,30.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 29.0, 'Bidder Charles': 35.0}",Bidder Charles
9,0,35.0,Bidder Betty,bid,35.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 35.0, 'Bidder Charles': 35.0}",Bidder Betty
9,1,36.0,Bidder Charles,bid,83.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 35.0, 'Bidder Charles': 83.0}",Bidder Charles
9,2,36.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 35.0, 'Bidder Charles': 83.0}",Bidder Charles
