period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,2.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 10.0}",Bidder Charles
0,2,10.0,Bidder Betty,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 10.0}",Bidder Betty
1,0,10.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 10.0}",Bidder Betty
1,1,11.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles
1,2,13.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles
2,0,15.0,Bidder Andy,bid,14.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles
2,1,15.0,Bidder Charles,bid,17.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 10.0, 'Bidder Charles': 17.0}",Bidder Charles
2,2,18.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 20.0, 'Bidder Charles': 17.0}",Bidder Betty
3,0,18.0,Bidder Betty,bid,25.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 25.0, 'Bidder Charles': 17.0}",Bidder Betty
3,1,20.0,Bidder Andy,bid,19.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 25.0, 'Bidder Charles': 17.0}",Bidder Betty
3,2,22.0,Bidder Charles,bid,21.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 25.0, 'Bidder Charles': 21.0}",Bidder Betty
4,0,24.0,Bidder Andy,bid,23.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 25.0, 'Bidder Charles': 21.0}",Bidder Betty
4,1,25.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty
4,2,26.0,Bidder Betty,bid,30.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 30.0, 'Bidder Charles': 25.0}",Bidder Betty
5,0,30.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 30.0, 'Bidder Charles': 30.0}",Bidder Betty
5,1,31.0,Bidder Betty,bid,35.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 35.0, 'Bidder Charles': 30.0}",Bidder Betty
5,2,33.0,Bidder Andy,bid,32.0,"{'Bidder Andy': 32.0, 'Bidder Betty': 35.0, 'Bidder Charles': 30.0}",Bidder Betty
6,0,35.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 32.0, 'Bidder Betty': 35.0, 'Bidder Charles': 35.0}",Bidder Betty
6,1,36.0,Bidder Betty,bid,40.0,"{'Bidder Andy': 32.0, 'Bidder Betty': 40.0, 'Bidder Charles': 35.0}",Bidder Betty
6,2,39.0,Bidder Andy,bid,38.0,"{'Bidder Andy': 38.0, 'Bidder Betty': 40.0, 'Bidder Charles': 35.0}",Bidder Betty
7,0,39.0,Bidder Betty,bid,45.0,"{'Bidder Andy': 38.0, 'Bidder Betty': 45.0, 'Bidder Charles': 35.0}",Bidder Betty
7,1,43.0,Bidder Andy,bid,42.0,"{'Bidder Andy': 42.0, 'Bidder Betty': 45.0, 'Bidder Charles': 35.0}",Bidder Betty
7,2,45.0,Bidder Charles,bid,45.0,"{'Bidder Andy': 42.0, 'Bidder Betty': 45.0, 'Bidder Charles': 45.0}",Bidder Betty
8,0,46.0,Bidder Andy,bid,50.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 45.0, 'Bidder Charles': 45.0}",Bidder Andy
8,1,50.0,Bidder Betty,bid,50.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 50.0, 'Bidder Charles': 45.0}",Bidder Andy
8,2,51.0,Bidder Charles,bid,51.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 50.0, 'Bidder Charles': 51.0}",Bidder Charles
9,0,52.0,Bidder Andy,bid,63.0,"{'Bidder Andy': 63.0, 'Bidder Betty': 50.0, 'Bidder Charles': 51.0}",Bidder Andy
9,1,62.0,Bidder Charles,bid,61.0,"{'Bidder Andy': 63.0, 'Bidder Betty': 50.0, 'Bidder Charles': 61.0}",Bidder Andy
9,2,64.0,Bidder Betty,bid,77.0,"{'Bidder Andy': 63.0, 'Bidder Betty': 77.0, 'Bidder Charles': 61.0}",Bidder Betty
