period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,1.0,Bidder Charles,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 1.0}",Bidder Andy
0,2,2.0,Bidder Betty,bid,5.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 5.0, 'Bidder Charles': 1.0}",Bidder Betty
1,0,2.0,Bidder Betty,bid,6.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 6.0, 'Bidder Charles': 1.0}",Bidder Betty
1,1,6.0,Bidder Andy,bid,5.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 6.0, 'Bidder Charles': 1.0}",Bidder Betty
1,2,7.0,Bidder Charles,bid,7.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 6.0, 'Bidder Charles': 7.0}",Bidder Charles
2,0,8.0,Bidder Betty,bid,8.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 8.0, 'Bidder Charles': 7.0}",Bidder Betty
2,1,9.0,Bidder Charles,bid,9.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 8.0, 'Bidder Charles': 9.0}",Bidder Charles
2,2,10.0,Bidder Andy,bid,10.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 8.0, 'Bidder Charles': 9.0}",Bidder Andy
3,0,11.0,Bidder Charles,bid,11.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 8.0, 'Bidder Charles': 11.0}",Bidder Charles
3,1,12.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 8.0, 'Bidder Charles': 11.0}",Bidder Andy
3,2,13.0,Bidder Betty,bid,13.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 13.0, 'Bidder Charles': 11.0}",Bidder Betty
4,0,14.0,Bidder Charles,bid,14.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 13.0, 'Bidder Charles': 14.0}",Bidder Charles
4,1,15.0,Bidder Andy,bid,15.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 13.0, 'Bidder Charles': 14.0}",Bidder Andy
4,2,16.0,Bidder Betty,bid,16.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 16.0, 'Bidder Charles': 14.0}",Bidder Betty
5,0,17.0,Bidder Charles,bid,19.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 16.0, 'Bidder Charles': 19.0}",Bidder Charles
5,1,19.0,Bidder Andy,bid,18.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 16.0, 'Bidder Charles': 19.0}",Bidder Charles
5,2,20.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 20.0, 'Bidder Charles': 19.0}",Bidder Betty
6,0,21.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 20.0, 'Bidder Charles': 25.0}",Bidder Charles
6,1,23.0,Bidder Andy,bid,22.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 20.0, 'Bidder Charles': 25.0}",Bidder Charles
6,2,25.0,Bidder Betty,bid,24.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 24.0, 'Bidder Charles': 25.0}",Bidder Charles
7,0,26.0,Bidder Andy,bid,26.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 24.0, 'Bidder Charles': 25.0}",Bidder Andy
7,1,27.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 24.0, 'Bidder Charles': 30.0}",Bidder Charles
7,2,29.0,Bidder Betty,bid,28.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 28.0, 'Bidder Charles': 30.0}",Bidder Charles
8,0,29.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 28.0, 'Bidder Charles': 35.0}",Bidder Charles
8,1,36.0,Bidder Betty,bid,36.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Betty
8,2,37.0,Bidder Andy,bid,37.0,"{'Bidder Andy': 37.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Andy
9,0,37.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 37.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Andy
9,1,37.0,Bidder Andy,bid,46.0,"{'Bidder Andy': 46.0, 'Bidder Betty': 36.0, 'Bidder Charles': 35.0}",Bidder Andy
9,2,39.0,Bidder Charles,bid,38.0,"{'Bidder Andy': 46.0, 'Bidder Betty': 36.0, 'Bidder Charles': 38.0}",Bidder Andy
