period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,Bidder Betty,bid,10.0,"{'Bidder Andy': 0, 'Bidder Betty': 10.0, 'Bidder Charles': 0}",Bidder Betty
0,1,2.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 0}",Bidder Betty
0,2,4.0,Bidder Charles,bid,3.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 3.0}",Bidder Betty
1,0,6.0,Bidder Andy,bid,5.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 3.0}",Bidder Betty
1,1,8.0,Bidder Charles,bid,7.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 7.0}",Bidder Betty
1,2,8.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 7.0}",Bidder Betty
2,0,8.0,Bidder Betty,bid,12.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 12.0, 'Bidder Charles': 7.0}",Bidder Betty
2,1,10.0,Bidder Charles,bid,9.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 12.0, 'Bidder Charles': 9.0}",Bidder Betty
2,2,12.0,Bidder Andy,bid,11.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 12.0, 'Bidder Charles': 9.0}",Bidder Betty
3,0,12.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 12.0, 'Bidder Charles': 9.0}",Bidder Betty
3,1,12.0,Bidder Betty,bid,13.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 9.0}",Bidder Betty
3,2,13.0,Bidder Charles,bid,13.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 13.0}",Bidder Betty
4,0,13.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 13.0}",Bidder Betty
4,1,13.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 13.0}",Bidder Betty
4,2,14.0,Bidder Betty,bid,15.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 15.0, 'Bidder Charles': 13.0}",Bidder Betty
5,0,14.0,Bidder Betty,bid,16.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 13.0}",Bidder Betty
5,1,16.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 15.0}",Bidder Betty
5,2,16.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 15.0}",Bidder Betty
6,0,16.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 15.0}",Bidder Betty
6,1,17.0,Bidder Charles,bid,17.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 17.0}",Bidder Charles
6,2,17.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 16.0, 'Bidder Charles': 17.0}",Bidder Charles
7,0,18.0,Bidder Betty,bid,18.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty
7,1,18.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty
7,2,18.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty
8,0,18.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 18.0, 'Bidder Charles': 17.0}",Bidder Betty
8,1,18.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 20.0, 'Bidder Charles': 17.0}",Bidder Betty
8,2,18.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 20.0, 'Bidder Charles': 17.0}",Bidder Betty
9,0,18.0,Bidder Betty,bid,62.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 62.0, 'Bidder Charles': 17.0}",Bidder Betty
9,1,18.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 62.0, 'Bidder Charles': 17.0}",Bidder Betty
9,2,18.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 62.0, 'Bidder Charles': 17.0}",Bidder Betty
