period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,Bidder Betty,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Betty
0,1,1.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Andy
0,2,2.0,Bidder Charles,bid,2.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 2.0}",Bidder Charles
1,0,3.0,Bidder Andy,bid,3.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 1.0, 'Bidder Charles': 2.0}",Bidder Andy
1,1,4.0,Bidder Charles,bid,4.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 1.0, 'Bidder Charles': 4.0}",Bidder Charles
1,2,5.0,Bidder Betty,bid,5.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 5.0, 'Bidder Charles': 4.0}",Bidder Betty
2,0,5.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 5.0, 'Bidder Charles': 4.0}",Bidder Betty
2,1,5.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 5.0, 'Bidder Charles': 4.0}",Bidder Betty
2,2,6.0,Bidder Andy,bid,6.0,"{'Bidder Andy': 6.0, 'Bidder Betty': 5.0, 'Bidder Charles': 4.0}",Bidder Andy
3,0,7.0,Bidder Charles,bid,7.0,"{'Bidder Andy': 6.0, 'Bidder Betty': 5.0, 'Bidder Charles': 7.0}",Bidder Charles
3,1,8.0,Bidder Betty,bid,8.0,"{'Bidder Andy': 6.0, 'Bidder Betty': 8.0, 'Bidder Charles': 7.0}",Bidder Betty
3,2,9.0,Bidder Andy,bid,9.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 8.0, 'Bidder Charles': 7.0}",Bidder Andy
4,0,10.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 8.0, 'Bidder Charles': 10.0}",Bidder Charles
4,1,11.0,Bidder Betty,bid,12.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 12.0, 'Bidder Charles': 10.0}",Bidder Betty
4,2,12.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 12.0, 'Bidder Charles': 10.0}",Bidder Andy
5,0,13.0,Bidder Betty,bid,15.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 15.0, 'Bidder Charles': 10.0}",Bidder Betty
5,1,16.0,Bidder Charles,bid,20.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles
5,2,18.0,Bidder Andy,bid,17.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles
6,0,18.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 17.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles
6,1,20.0,Bidder Andy,bid,19.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 15.0, 'Bidder Charles': 20.0}",Bidder Charles
6,2,21.0,Bidder Betty,bid,21.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 21.0, 'Bidder Charles': 20.0}",Bidder Betty
7,0,22.0,Bidder Andy,bid,22.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 21.0, 'Bidder Charles': 20.0}",Bidder Andy
7,1,23.0,Bidder Betty,bid,24.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 24.0, 'Bidder Charles': 20.0}",Bidder Betty
7,2,25.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 24.0, 'Bidder Charles': 25.0}",Bidder Charles
8,0,25.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 24.0, 'Bidder Charles': 30.0}",Bidder Charles
8,1,25.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 24.0, 'Bidder Charles': 30.0}",Bidder Charles
8,2,27.0,Bidder Betty,bid,26.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 26.0, 'Bidder Charles': 30.0}",Bidder Charles
9,0,31.0,Bidder Betty,bid,35.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 35.0, 'Bidder Charles': 30.0}",Bidder Betty
9,1,31.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 35.0, 'Bidder Charles': 30.0}",Bidder Betty
9,2,35.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 35.0, 'Bidder Charles': 35.0}",Bidder Betty
