period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,Bidder Betty,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Betty
0,1,1.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Andy
0,2,2.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 10.0}",Bidder Charles
1,0,2.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 10.0}",Bidder Charles
1,1,4.0,Bidder Andy,bid,3.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 1.0, 'Bidder Charles': 10.0}",Bidder Charles
1,2,6.0,Bidder Betty,bid,5.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 5.0, 'Bidder Charles': 10.0}",Bidder Charles
2,0,6.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 5.0, 'Bidder Charles': 10.0}",Bidder Charles
2,1,8.0,Bidder Betty,bid,7.0,"{'Bidder Andy': 3.0, 'Bidder Betty': 7.0, 'Bidder Charles': 10.0}",Bidder Charles
2,2,10.0,Bidder Andy,bid,9.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 7.0, 'Bidder Charles': 10.0}",Bidder Charles
3,0,11.0,Bidder Betty,bid,11.0,"{'Bidder Andy': 9.0, 'Bidder Betty': 11.0, 'Bidder Charles': 10.0}",Bidder Betty
3,1,12.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 11.0, 'Bidder Charles': 10.0}",Bidder Andy
3,2,13.0,Bidder Charles,bid,13.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 11.0, 'Bidder Charles': 13.0}",Bidder Charles
4,0,13.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 11.0, 'Bidder Charles': 15.0}",Bidder Charles
4,1,15.0,Bidder Andy,bid,14.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 11.0, 'Bidder Charles': 15.0}",Bidder Charles
4,2,16.0,Bidder Betty,bid,16.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 16.0, 'Bidder Charles': 15.0}",Bidder Betty
5,0,17.0,Bidder Charles,bid,20.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 16.0, 'Bidder Charles': 20.0}",Bidder Charles
5,1,19.0,Bidder Andy,bid,18.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 16.0, 'Bidder Charles': 20.0}",Bidder Charles
5,2,20.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 18.0, 'Bidder Betty': 20.0, 'Bidder Charles': 20.0}",Bidder Betty
6,0,21.0,Bidder Andy,bid,21.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 20.0, 'Bidder Charles': 20.0}",Bidder Andy
6,1,22.0,Bidder Betty,bid,22.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 22.0, 'Bidder Charles': 20.0}",Bidder Betty
6,2,23.0,Bidder Charles,bid,23.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 22.0, 'Bidder Charles': 23.0}",Bidder Charles
7,0,23.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 21.0, 'Bidder Betty': 22.0, 'Bidder Charles': 30.0}",Bidder Charles
7,1,25.0,Bidder Andy,bid,24.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 22.0, 'Bidder Charles': 30.0}",Bidder Charles
7,2,27.0,Bidder Betty,bid,26.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 26.0, 'Bidder Charles': 30.0}",Bidder Charles
8,0,29.0,Bidder Betty,bid,28.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 28.0, 'Bidder Charles': 30.0}",Bidder Charles
8,1,29.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 28.0, 'Bidder Charles': 35.0}",Bidder Charles
8,2,29.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 28.0, 'Bidder Charles': 35.0}",Bidder Charles
9,0,29.0,Bidder Charles,bid,84.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 28.0, 'Bidder Charles': 84.0}",Bidder Charles
9,1,29.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 28.0, 'Bidder Charles': 84.0}",Bidder Charles
9,2,36.0,Bidder Betty,bid,35.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
