round,bidder,value,bid,winner,AC,Blind
0,Bidder 2,33,32,False,True,False
0,Bidder 0,34,34,False,True,False
0,Bidder 1,31,34,True,True,False
1,Bidder 0,20,22,False,True,False
1,Bidder 1,27,29,False,True,False
1,Bidder 2,36,29,True,True,False
2,Bidder 0,22,25,False,True,False
2,Bidder 2,35,25,False,True,False
2,Bidder 1,19,25,True,True,False
3,Bidder 0,24,25,False,True,False
3,Bidder 2,30,30,False,True,False
3,Bidder 1,27,30,True,True,False
4,Bidder 2,33,30,False,True,False
4,Bidder 1,30,31,False,True,False
4,Bidder 0,20,31,True,True,False
5,Bidder 0,21,22,False,True,False
5,Bidder 2,35,23,False,True,False
5,Bidder 1,22,23,True,True,False
6,Bidder 0,16,19,False,True,False
6,Bidder 1,16,20,False,True,False
6,Bidder 2,33,20,True,True,False
7,Bidder 1,35,21,False,True,False
7,Bidder 2,34,26,False,True,False
7,Bidder 0,18,26,True,True,False
8,Bidder 1,23,20,False,True,False
8,Bidder 2,15,25,False,True,False
8,Bidder 0,23,25,True,True,False
9,Bidder 0,23,24,False,True,False
9,Bidder 2,29,28,False,True,False
9,Bidder 1,26,28,True,True,False
0,Bidder 2,33,32,False,True,False
0,Bidder 0,34,34,False,True,False
0,Bidder 1,31,34,True,True,False
1,Bidder 0,20,20,False,True,False
1,Bidder 1,27,28,False,True,False
1,Bidder 2,36,28,True,True,False
2,Bidder 2,22,19,False,True,False
2,Bidder 0,35,22,False,True,False
2,Bidder 1,19,22,True,True,False
3,Bidder 0,24,24,False,True,False
3,Bidder 2,30,28,False,True,False
3,Bidder 1,27,28,True,True,False
4,Bidder 2,33,20,False,True,False
4,Bidder 1,30,30,False,True,False
4,Bidder 0,20,30,True,True,False
5,Bidder 0,21,21,False,True,False
5,Bidder 2,35,23,False,True,False
5,Bidder 1,22,23,True,True,False
6,Bidder 0,16,17,False,True,False
6,Bidder 1,16,17,False,True,False
6,Bidder 2,33,17,True,True,False
7,Bidder 2,35,18,False,True,False
7,Bidder 1,34,34,False,True,False
7,Bidder 0,18,34,True,True,False
8,Bidder 1,23,15,False,True,False
8,Bidder 0,15,23,False,True,False
8,Bidder 2,23,23,False,True,False
9,Bidder 0,23,23,False,True,False
9,Bidder 2,29,27,False,True,False
9,Bidder 1,26,27,True,True,False
0,Bidder 2,19,11,False,True,True
0,Bidder 0,25,19,False,True,True
0,Bidder 1,11,19,True,True,True
1,Bidder 0,13,12,False,True,True
1,Bidder 1,25,19,False,True,True
1,Bidder 2,25,19,True,True,True
2,Bidder 1,40,19,False,True,True
2,Bidder 2,25,26,False,True,True
2,Bidder 0,30,26,True,True,True
3,Bidder 2,21,16,False,True,True
