lever,family,experiment,target_feature,n_treat,n_ctrl,n_clusters,prev_baseline,prev_treated,prev_diff,lang_wcb_p,lang_perm_p,lang_naive_p,dev_baseline,dev_treated,dev_wcb_p,absdev_baseline,absdev_treated,absdev_diff,absdev_ci_lo,absdev_ci_hi,absdev_wcb_p,absdev_perm_p,absdev_base_legacy,absdev_diff_legacy,absdev_wcb_p_legacy,absdev_base_spsb,absdev_diff_spsb,absdev_wcb_p_spsb,prompt_echo_note
Payoff Safety,B2,axis2_forward_onestep,safety_recognition,370,727,12,0.0,0.0,0.0,,,,-2.488,-1.618,0.0355,3.04,2.035,-1.005,-3.105,1.364,0.012,0.4359,3.164,-1.129,0.0925,3.049,-1.014,0.004,"prompt asserts the invariant but 0/600 traces echo it -> no echo issue; baseline corrected to {axis1,axis3} (provenance note)"
Worst-case scaffold,C1,axis1_contingent_worstcase,worst_case,368,359,8,0.0139,0.3967,0.3828,0.004,0.0074,0.0,-2.401,-2.645,0.5667,3.062,2.917,-0.146,-3.569,3.172,0.8086,0.9546,3.164,-0.248,0.7591,3.049,-0.133,0.6092,prompt says 'worst-case' -> target rise is partly prompt echo
Payoff Tree,C1,axis2_forward_tree,second_price_mention,368,727,12,0.3329,0.3451,0.0122,0.7871,0.948,0.7552,-2.488,-1.052,0.2514,3.04,1.21,-1.831,-3.441,-0.292,0.018,0.1088,3.164,-1.955,0.011,3.049,-1.84,0.0065,"shares 'second-highest' rule vocab with the axis1/axis3 baselines -> clean contrast; own-grid axis2 baseline is CONTAMINATED (two-stage clock-exit text, provenance note) so baseline = corrected {axis1,axis3}"
Dominated,C1,axis1_contingent_dominated,dominance_language,373,359,8,0.0,0.2091,0.2091,0.0455,0.0262,0.0059,-2.401,-2.144,0.8021,3.062,2.72,-0.342,-3.549,2.559,0.6602,0.7307,3.164,-0.444,0.4548,3.049,-0.329,0.1289,prompt says 'dominated' -> target rise is partly prompt echo
Enumerate,C1,axis1_contingent_enumerate,opponent_modeling,370,359,8,0.2953,0.4162,0.121,0.4418,0.5411,0.1171,-2.401,-3.111,0.1204,3.062,3.368,0.305,-3.29,3.835,0.931,0.9216,3.164,0.203,0.8441,3.049,0.318,0.7071,prompt asks about others' bids -> target rise is partly prompt echo
Menu restatement,B1,intervention_menu,second_price_mention,369,727,12,0.3329,0.0,-0.3329,0.0025,0.0064,0.0,-2.488,-2.145,0.6182,3.04,3.492,0.452,-1.614,2.253,0.5542,0.7057,3.164,0.328,0.6747,3.049,0.443,0.8071,REVERSE echo: prompt removes 'second-highest' vocab -> target 0 by construction; NOT interpretable as comprehension (caveat 6b)
Clock-framing,B3,intervention_proxy_breitmoser,clock_exit_language,364,727,12,0.0,0.2005,0.2005,0.0095,0.0004,0.0,-2.488,-1.871,0.6467,3.04,2.197,-0.843,-2.416,0.601,0.3853,0.4943,3.164,-0.967,0.1149,3.049,-0.852,0.3873,prompt reframes bid as clock exit -> target rise is partly prompt echo (this IS the manipulation)
Two-stage clock-exit descr.,B3v,axis2_forward_baseline,clock_exit_language,367,727,12,0.0,0.1526,0.1526,0.024,0.0198,0.0003,-2.488,-2.249,0.8671,3.04,3.41,0.369,-1.594,2.735,0.7971,0.6821,,,,3.049,0.36,0.9005,"RECLASSIFIED (provenance note 2026-07-08): the V12 axis2 'baseline' text was a two-stage sealed-bid-as-clock-exit description -> treated cell, B3-variant; target rise is partly prompt echo (this IS the manipulation)"
First-order beliefs,C3,axis3_beliefs_firstorder,opponent_modeling,362,368,8,0.2717,0.4171,0.1454,0.032,0.4261,0.0008,-2.574,-3.237,0.0305,3.019,3.973,0.954,-1.677,3.838,0.004,0.4983,3.164,0.808,0.2709,3.049,0.923,0.0105,prompt asks 'what will others bid' -> target rise is partly prompt echo
Second-order beliefs,C3,axis3_beliefs_secondorder,opponent_modeling,371,368,8,0.2717,0.4879,0.2161,0.0075,0.2254,0.0,-2.574,-3.335,0.092,3.019,3.709,0.69,-2.253,3.922,0.1719,0.7127,3.164,0.544,0.5937,3.049,0.659,0.1964,prompt asks 'what do others think YOU bid' -> partly prompt echo
Common-knowledge beliefs,C3,axis3_beliefs_common_knowledge,opponent_modeling,370,368,8,0.2717,0.1189,-0.1528,0.2709,0.3439,0.0733,-2.574,-1.931,0.5682,3.019,1.964,-1.055,-3.286,1.071,0.004,0.3991,3.164,-1.2,0.0585,3.049,-1.085,0.0115,prompt asserts common knowledge of rationality -> partly prompt echo
Backward induction,C2,axis2_forward_backward_induct,expected_value_reasoning,371,727,12,0.0509,0.0377,-0.0132,0.1929,0.3083,0.1073,-2.488,-1.526,0.3883,3.04,2.142,-0.898,-2.786,0.887,0.0985,0.4573,3.164,-1.022,0.087,3.049,-0.907,0.096,prompt = the two-stage clock-exit text PLUS 'work backwards from Stage 2' guidance; vs corrected baseline this measures the BUNDLE (framing+guidance); the within-pair contrast vs axis2_forward_baseline (shared framing) isolates the guidance and is reported in the summary
