lever,family,experiment,target_feature,n_treat,n_ctrl,n_clusters,prev_baseline,prev_treated,prev_diff,lang_wcb_p,lang_perm_p,lang_naive_p,dev_baseline,dev_treated,dev_wcb_p,absdev_baseline,absdev_treated,absdev_diff,absdev_ci_lo,absdev_ci_hi,absdev_wcb_p,absdev_perm_p,absdev_base_legacy,absdev_diff_legacy,absdev_wcb_p_legacy,absdev_base_spsb,absdev_diff_spsb,absdev_wcb_p_spsb,prompt_echo_note
Payoff Safety,B2,axis2_forward_onestep,safety_recognition,600,1188,12,0.0,0.0,0.0,,,,-2.559,-1.534,0.1074,3.201,1.953,-1.248,-3.372,1.172,0.0145,0.3579,3.271,-1.317,0.055,3.115,-1.161,0.0075,"prompt asserts the invariant but 0/600 traces echo it -> no echo issue; baseline corrected to {axis1,axis3} (provenance note)"
Worst-case scaffold,C1,axis1_contingent_worstcase,worst_case,561,588,8,0.0204,0.4296,0.4092,0.0075,0.0116,0.0,-2.42,-2.813,0.3708,3.24,3.066,-0.173,-3.726,3.249,0.8141,0.9458,3.271,-0.204,0.8136,3.115,-0.048,0.9965,prompt says 'worst-case' -> target rise is partly prompt echo
Payoff Tree,C1,axis2_forward_tree,second_price_mention,600,1188,12,0.33,0.3267,-0.0033,0.8971,0.9736,0.8831,-2.559,-1.134,0.2899,3.201,1.293,-1.908,-3.685,-0.165,0.017,0.1266,3.271,-1.978,0.011,3.115,-1.822,0.0005,"shares 'second-highest' rule vocab with the axis1/axis3 baselines -> clean contrast; own-grid axis2 baseline is CONTAMINATED (two-stage clock-exit text, provenance note) so baseline = corrected {axis1,axis3}"
Dominated,C1,axis1_contingent_dominated,dominance_language,600,588,8,0.0,0.205,0.205,0.0185,0.0262,0.0067,-2.42,-2.249,1.0,3.24,2.881,-0.359,-3.574,2.373,0.7906,0.8332,3.271,-0.39,0.4663,3.115,-0.233,0.5812,prompt says 'dominated' -> target rise is partly prompt echo
Enumerate,C1,axis1_contingent_enumerate,opponent_modeling,600,588,8,0.2908,0.3933,0.1025,0.5852,0.5887,0.1555,-2.42,-2.935,0.5132,3.24,3.284,0.044,-3.61,3.465,0.9305,0.946,3.271,0.013,0.988,3.115,0.169,0.7196,prompt asks about others' bids -> target rise is partly prompt echo
Menu restatement,B1,intervention_menu,second_price_mention,588,1188,12,0.33,0.0,-0.33,0.0025,0.0106,0.0,-2.559,-2.057,0.5302,3.201,3.552,0.351,-1.849,2.27,0.6577,0.772,3.271,0.281,0.7191,3.115,0.438,0.7701,REVERSE echo: prompt removes 'second-highest' vocab -> target 0 by construction; NOT interpretable as comprehension (caveat 6b)
Clock-framing,B3,intervention_proxy_breitmoser,clock_exit_language,579,1188,12,0.0,0.1952,0.1952,0.01,0.0026,0.0,-2.559,-1.912,0.6542,3.201,2.239,-0.962,-2.677,0.671,0.3248,0.4525,3.271,-1.032,0.1014,3.115,-0.876,0.3113,prompt reframes bid as clock exit -> target rise is partly prompt echo (this IS the manipulation)
Two-stage clock-exit descr.,B3v,axis2_forward_baseline,clock_exit_language,600,1188,12,0.0,0.1433,0.1433,0.002,0.0198,0.0,-2.559,-2.201,0.8381,3.201,3.409,0.208,-1.882,2.633,0.8761,0.8192,,,,3.115,0.294,0.9045,"RECLASSIFIED (provenance note 2026-07-08): the V12 axis2 'baseline' text was a two-stage sealed-bid-as-clock-exit description -> treated cell, B3-variant; target rise is partly prompt echo (this IS the manipulation)"
First-order beliefs,C3,axis3_beliefs_firstorder,opponent_modeling,558,600,8,0.2783,0.4265,0.1482,0.004,0.3375,0.0004,-2.695,-3.041,0.0485,3.163,3.925,0.762,-1.932,3.657,0.004,0.5147,3.271,0.654,0.2934,3.115,0.81,0.031,prompt asks 'what will others bid' -> target rise is partly prompt echo
Second-order beliefs,C3,axis3_beliefs_secondorder,opponent_modeling,600,600,8,0.2783,0.5133,0.235,0.0075,0.2254,0.0,-2.695,-3.465,0.0745,3.163,3.869,0.707,-2.456,4.086,0.1614,0.7399,3.271,0.598,0.5622,3.115,0.754,0.1444,prompt asks 'what do others think YOU bid' -> partly prompt echo
Common-knowledge beliefs,C3,axis3_beliefs_common_knowledge,opponent_modeling,600,600,8,0.2783,0.1183,-0.16,0.1549,0.2861,0.0627,-2.695,-2.102,0.7006,3.163,2.126,-1.037,-3.515,1.315,0.004,0.4489,3.271,-1.145,0.0795,3.115,-0.989,0.004,prompt asserts common knowledge of rationality -> partly prompt echo
Backward induction,C2,axis2_forward_backward_induct,expected_value_reasoning,600,1188,12,0.0438,0.04,-0.0038,0.6302,0.7876,0.6143,-2.559,-1.649,0.5777,3.201,2.234,-0.967,-2.818,0.76,0.1444,0.4505,3.271,-1.037,0.088,3.115,-0.881,0.1804,prompt = the two-stage clock-exit text PLUS 'work backwards from Stage 2' guidance; vs corrected baseline this measures the BUNDLE (framing+guidance); the within-pair contrast vs axis2_forward_baseline (shared framing) isolates the guidance and is reported in the summary
Risk-averse persona,D,risk_averse,risk_language,573,1188,12,0.2896,0.993,0.7035,0.003,0.0026,0.0,-2.559,-4.705,0.027,3.201,4.707,1.506,-0.842,4.361,0.003,0.3095,3.271,1.437,0.092,3.115,1.593,0.004,prompt says 'you are risk-averse' -> target rise is partly prompt echo
Risk-neutral persona,D,risk_neutrality,risk_language,585,1188,12,0.2896,0.4684,0.1788,0.1899,0.2382,0.0334,-2.559,-1.824,0.0785,3.201,2.568,-0.633,-2.834,1.827,0.08,0.6533,3.271,-0.703,0.3153,3.115,-0.547,0.072,prompt sets a risk-neutral persona -> partly prompt echo
Risk-seeking persona,D,risk_seeking,aggressive_language,588,1188,12,0.0581,0.6548,0.5967,0.011,0.0026,0.0,-2.559,2.005,0.0115,3.201,3.494,0.293,-2.761,4.425,0.8926,0.8456,3.271,0.223,0.919,3.115,0.379,0.9965,prompt sets a risk-seeking persona -> partly prompt echo
Loss frame,D,loss_aversion_loss_frame,risk_language,564,567,8,0.321,0.3582,0.0372,0.7556,0.777,0.5358,-2.257,-3.44,0.004,3.128,3.735,0.607,-3.552,4.92,0.6572,0.7794,3.271,0.465,0.7001,3.115,0.621,0.5822,prompt frames payment as a loss -> mild echo
Gain frame,D,loss_aversion_gain_frame,risk_language,558,567,8,0.321,0.2652,-0.0558,0.7456,0.7183,0.3716,-2.257,-2.507,0.928,3.128,3.063,-0.066,-3.701,3.205,0.8866,0.8994,3.271,-0.208,0.8311,3.115,-0.052,0.933,prompt frames outcome as a gain -> mild echo
Endowment,D,loss_aversion_endowment,risk_language,576,567,8,0.321,0.3524,0.0314,0.6832,0.7712,0.2778,-2.257,-3.402,0.004,3.128,3.999,0.87,-2.955,4.79,0.0305,0.6671,3.271,0.728,0.5337,3.115,0.884,0.056,prompt grants an endowment -> mild echo
Mixed frame,D,loss_aversion_mixed_frame,risk_language,600,567,8,0.321,0.4517,0.1307,0.004,0.4769,0.0,-2.257,-2.872,0.5132,3.128,3.681,0.553,-3.226,4.133,0.6177,0.8662,3.271,0.411,0.6812,3.115,0.567,0.2314,mixed gain/loss framing -> mild echo
WTA/WTP,D,loss_aversion_WTA_WTP,risk_language,588,567,8,0.321,0.3078,-0.0132,0.9055,1.0,0.8401,-2.257,-2.168,0.8116,3.128,2.465,-0.663,-3.99,2.539,0.3168,0.5835,3.271,-0.806,0.2509,3.115,-0.65,0.0395,willingness-to-accept vs -pay framing -> mild echo
