model|experiment|n_bids|mean_dev|se|MAD|SMAD_pct|priv|incr|seed|form
claude-3-5-haiku-20241022|ascending_clock_closed|150|-0.053|0.039|0.353|1.44|private|0.5|1399|clock
claude-3-5-haiku-20241022|axis1_contingent_baseline|141|0.973|0.260|2.404|9.81|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis1_contingent_dominated|150|0.914|0.172|1.522|6.21|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis1_contingent_enumerate|150|-0.495|0.182|1.696|6.92|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis1_contingent_worstcase|150|0.016|0.095|0.775|3.16|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis2_forward_backward_induct|150|-1.059|0.181|2.155|8.80|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis2_forward_baseline|150|0.366|0.263|2.942|12.01|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis2_forward_onestep|150|0.298|0.146|1.171|4.78|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis2_forward_tree|150|-0.819|0.132|1.106|4.51|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis3_beliefs_baseline|150|0.139|0.239|1.666|6.80|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis3_beliefs_common_knowledge|150|-1.286|0.164|1.317|5.37|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis3_beliefs_firstorder|150|-0.005|0.301|2.903|11.85|private|0.1|1299|seal
claude-3-5-haiku-20241022|axis3_beliefs_secondorder|150|-0.592|0.248|1.939|7.91|private|0.1|1299|seal
claude-3-5-haiku-20241022|loss_aversion_WTA_WTP|150|0.017|0.132|1.063|4.34|private|0.1|1299|seal
claude-3-5-haiku-20241022|loss_aversion_baseline|150|0.907|0.250|2.354|9.61|private|0.1|1299|seal
claude-3-5-haiku-20241022|loss_aversion_endowment|126|-0.117|0.252|2.340|9.55|private|0.1|1299|seal
claude-3-5-haiku-20241022|loss_aversion_gain_frame|120|-0.097|0.295|2.406|9.82|private|0.1|1299|seal
claude-3-5-haiku-20241022|loss_aversion_loss_frame|150|-0.139|0.137|1.241|5.07|private|0.1|1299|seal
claude-3-5-haiku-20241022|loss_aversion_mixed_frame|150|0.997|0.177|1.980|8.08|private|0.1|1299|seal
claude-3-5-haiku-20241022|risk_averse|129|-3.488|0.203|3.488|14.24|private|0.1|1299|seal
claude-3-5-haiku-20241022|risk_neutrality|147|0.724|0.239|1.870|7.63|private|0.1|1299|seal
claude-3-5-haiku-20241022|risk_seeking|150|8.402|0.340|8.583|35.03|private|0.1|1299|seal
claude-3-5-haiku-20241022|spsb|150|-0.493|0.242|1.677|6.84|private|0.1|1399|seal
gemini-2.0-flash|ascending_clock_closed|120|-1.242|0.098|1.267|5.17|private|0.5|1399|clock
gemini-2.0-flash|axis1_contingent_baseline|150|-0.796|0.127|0.796|3.25|private|0.1|1299|seal
gemini-2.0-flash|axis1_contingent_dominated|150|-2.020|0.233|2.020|8.24|private|0.1|1299|seal
gemini-2.0-flash|axis1_contingent_enumerate|150|-0.897|0.144|0.897|3.66|private|0.1|1299|seal
gemini-2.0-flash|axis1_contingent_worstcase|126|-1.641|0.230|1.643|6.71|private|0.1|1299|seal
gemini-2.0-flash|axis2_forward_backward_induct|150|-0.981|0.191|0.981|4.01|private|0.1|1299|seal
gemini-2.0-flash|axis2_forward_baseline|150|-6.121|0.354|6.121|24.98|private|0.1|1299|seal
gemini-2.0-flash|axis2_forward_onestep|150|-0.378|0.053|0.383|1.56|private|0.1|1299|seal
gemini-2.0-flash|axis2_forward_tree|150|-0.527|0.050|0.527|2.15|private|0.1|1299|seal
gemini-2.0-flash|axis3_beliefs_baseline|150|-1.709|0.203|1.715|7.00|private|0.1|1299|seal
gemini-2.0-flash|axis3_beliefs_common_knowledge|150|-1.567|0.278|1.570|6.41|private|0.1|1299|seal
gemini-2.0-flash|axis3_beliefs_firstorder|126|-2.402|0.317|2.405|9.82|private|0.1|1299|seal
gemini-2.0-flash|axis3_beliefs_secondorder|150|-1.305|0.196|1.307|5.33|private|0.1|1299|seal
gemini-2.0-flash|loss_aversion_WTA_WTP|150|-1.591|0.179|1.591|6.49|private|0.1|1299|seal
gemini-2.0-flash|loss_aversion_baseline|138|-0.683|0.119|0.683|2.79|private|0.1|1299|seal
gemini-2.0-flash|loss_aversion_endowment|150|-1.697|0.194|1.699|6.94|private|0.1|1299|seal
gemini-2.0-flash|loss_aversion_gain_frame|150|-0.651|0.105|0.651|2.66|private|0.1|1299|seal
gemini-2.0-flash|loss_aversion_loss_frame|126|-0.956|0.162|0.956|3.90|private|0.1|1299|seal
gemini-2.0-flash|loss_aversion_mixed_frame|150|-1.141|0.173|1.141|4.66|private|0.1|1299|seal
gemini-2.0-flash|risk_averse|150|-2.939|0.341|2.939|11.99|private|0.1|1299|seal
gemini-2.0-flash|risk_neutrality|150|-0.835|0.170|0.835|3.41|private|0.1|1299|seal
gemini-2.0-flash|risk_seeking|138|-0.303|0.267|1.206|4.92|private|0.1|1299|seal
gemini-2.0-flash|spsb|150|-1.629|0.268|1.629|6.65|private|0.1|1399|seal
google/gemma-3-27b-it|ascending_clock_closed|120|-0.333|0.052|0.458|1.87|private|0.5|1399|clock
google/gemma-3-27b-it|axis1_contingent_baseline|147|-7.107|0.337|7.139|29.14|private|0.1|1299|seal
google/gemma-3-27b-it|axis1_contingent_dominated|150|-4.947|0.357|5.023|20.50|private|0.1|1299|seal
google/gemma-3-27b-it|axis1_contingent_enumerate|150|-6.266|0.374|6.381|26.04|private|0.1|1299|seal
google/gemma-3-27b-it|axis1_contingent_worstcase|135|-6.184|0.435|6.291|25.68|private|0.1|1299|seal
google/gemma-3-27b-it|axis2_forward_backward_induct|150|-2.317|0.398|3.506|14.31|private|0.1|1299|seal
google/gemma-3-27b-it|axis2_forward_baseline|150|-0.591|0.269|2.115|8.63|private|0.1|1299|seal
google/gemma-3-27b-it|axis2_forward_onestep|150|-4.173|0.306|4.363|17.81|private|0.1|1299|seal
google/gemma-3-27b-it|axis2_forward_tree|150|-2.336|0.346|2.683|10.95|private|0.1|1299|seal
google/gemma-3-27b-it|axis3_beliefs_baseline|150|-5.965|0.324|6.011|24.54|private|0.1|1299|seal
google/gemma-3-27b-it|axis3_beliefs_common_knowledge|150|-4.259|0.473|4.321|17.64|private|0.1|1299|seal
google/gemma-3-27b-it|axis3_beliefs_firstorder|132|-6.848|0.423|7.161|29.23|private|0.1|1299|seal
google/gemma-3-27b-it|axis3_beliefs_secondorder|150|-7.425|0.404|7.472|30.50|private|0.1|1299|seal
google/gemma-3-27b-it|loss_aversion_WTA_WTP|138|-5.599|0.309|5.691|23.23|private|0.1|1299|seal
google/gemma-3-27b-it|loss_aversion_baseline|129|-7.175|0.368|7.203|29.40|private|0.1|1299|seal
google/gemma-3-27b-it|loss_aversion_endowment|150|-7.718|0.473|8.131|33.19|private|0.1|1299|seal
google/gemma-3-27b-it|loss_aversion_gain_frame|138|-5.999|0.336|6.135|25.04|private|0.1|1299|seal
google/gemma-3-27b-it|loss_aversion_loss_frame|138|-8.423|0.393|8.429|34.40|private|0.1|1299|seal
google/gemma-3-27b-it|loss_aversion_mixed_frame|150|-6.857|0.417|7.097|28.97|private|0.1|1299|seal
google/gemma-3-27b-it|risk_averse|144|-7.859|0.320|7.867|32.11|private|0.1|1299|seal
google/gemma-3-27b-it|risk_neutrality|138|-4.762|0.394|5.050|20.61|private|0.1|1299|seal
google/gemma-3-27b-it|risk_seeking|150|0.185|0.145|1.437|5.87|private|0.1|1299|seal
google/gemma-3-27b-it|spsb|150|-5.275|0.401|5.745|23.45|private|0.1|1399|seal
gpt-4o|ascending_clock_closed|120|-0.446|0.063|0.454|1.85|private|0.5|1299|clock
gpt-4o|axis1_contingent_baseline|150|-2.639|0.265|2.648|10.81|private|0.1|1299|seal
gpt-4o|axis1_contingent_dominated|150|-2.944|0.397|2.960|12.08|private|0.1|1299|seal
gpt-4o|axis1_contingent_enumerate|150|-4.083|0.347|4.160|16.98|private|0.1|1299|seal
gpt-4o|axis1_contingent_worstcase|150|-3.592|0.419|3.652|14.91|private|0.1|1299|seal
gpt-4o|axis2_forward_backward_induct|150|-2.238|0.169|2.293|9.36|private|0.1|1299|seal
gpt-4o|axis2_forward_baseline|150|-2.458|0.138|2.458|10.03|private|0.1|1299|seal
gpt-4o|axis2_forward_onestep|150|-1.883|0.193|1.896|7.74|private|0.1|1299|seal
gpt-4o|axis2_forward_tree|150|-0.855|0.156|0.857|3.50|private|0.1|1299|seal
gpt-4o|axis3_beliefs_baseline|150|-3.245|0.257|3.259|13.30|private|0.1|1299|seal
gpt-4o|axis3_beliefs_common_knowledge|150|-1.295|0.224|1.295|5.29|private|0.1|1299|seal
gpt-4o|axis3_beliefs_firstorder|150|-3.265|0.248|3.375|13.77|private|0.1|1299|seal
gpt-4o|axis3_beliefs_secondorder|150|-4.538|0.370|4.759|19.43|private|0.1|1299|seal
gpt-4o|loss_aversion_WTA_WTP|150|-1.774|0.164|1.774|7.24|private|0.1|1299|seal
gpt-4o|loss_aversion_baseline|150|-2.639|0.265|2.648|10.81|private|0.1|1299|seal
gpt-4o|loss_aversion_endowment|150|-3.552|0.366|3.559|14.53|private|0.1|1299|seal
gpt-4o|loss_aversion_gain_frame|150|-3.079|0.259|3.173|12.95|private|0.1|1299|seal
gpt-4o|loss_aversion_loss_frame|150|-4.244|0.336|4.245|17.33|private|0.1|1299|seal
gpt-4o|loss_aversion_mixed_frame|150|-4.488|0.218|4.508|18.40|private|0.1|1299|seal
gpt-4o|risk_averse|150|-4.491|0.200|4.491|18.33|private|0.1|1299|seal
gpt-4o|risk_neutrality|150|-2.607|0.232|2.701|11.02|private|0.1|1299|seal
gpt-4o|risk_seeking|150|-0.451|0.297|2.567|10.48|private|0.1|1299|seal
gpt-4o|spsb|150|-3.282|0.400|3.407|13.91|private|0.1|1399|seal
