Axis,Intervention,Auction,N,Mean_Ratio,Optimal,SMAD
Contingent Reasoning,Baseline,SPSB,290,0.8294057975210583,1.0,12.675047310083809
Contingent Reasoning,Baseline,FPSB,293,0.8788275618628631,0.6666666666666666,39.57173447537475
Contingent Reasoning,Baseline,TPSB,287,0.8282112425837753,2.0,55.59700467161308
Contingent Reasoning,List Cases,SPSB,290,0.8619249878419366,1.0,18.32272049857743
Contingent Reasoning,List Cases,FPSB,285,0.8070937658336826,0.6666666666666666,37.29511561089069
Contingent Reasoning,List Cases,TPSB,287,0.8435522115380132,2.0,56.61800651819664
Contingent Reasoning,Dominated Bid,SPSB,290,0.839425623473824,1.0,14.483831687187118
Contingent Reasoning,Dominated Bid,FPSB,284,0.8583473397878767,0.6666666666666666,38.69505114735969
Contingent Reasoning,Dominated Bid,TPSB,284,0.8457482346214107,2.0,53.84022038567493
Contingent Reasoning,Worst Case,SPSB,287,0.8011897468643083,1.0,16.380046851315974
Contingent Reasoning,Worst Case,FPSB,284,0.865907635502593,0.6666666666666666,42.60872576177287
Contingent Reasoning,Worst Case,TPSB,290,0.8376407471617012,2.0,55.276011365173865
Contingent Reasoning,Nash Deviation,SPSB,0,,1.0,
Contingent Reasoning,Nash Deviation,FPSB,284,0.8621240565856025,0.6666666666666666,36.96276449574059
Contingent Reasoning,Nash Deviation,TPSB,290,0.8850627659868208,2.0,53.765715830742195
Forward Planning,Two-Stage OSP,SPSB,287,0.9349012477228636,1.0,8.88949522510232
Forward Planning,Two-Stage OSP,FPSB,293,0.9399634463702194,0.6666666666666666,41.64815310492507
Forward Planning,Two-Stage OSP,TPSB,284,0.9086099303946324,2.0,54.067067340527245
Forward Planning,Backward Induct,SPSB,290,0.8995776788071562,1.0,10.150295222758992
Forward Planning,Backward Induct,FPSB,284,0.93530999317049,0.6666666666666666,44.89560287610618
Forward Planning,Backward Induct,TPSB,287,0.9229292210989992,2.0,54.33333333333333
Forward Planning,One-Step Look,SPSB,290,0.8490297282363722,1.0,13.434888110002696
Forward Planning,One-Step Look,FPSB,284,0.8007102928379725,0.6666666666666666,29.81819438683811
Forward Planning,One-Step Look,TPSB,287,0.930387475786802,2.0,52.73198689956332
Forward Planning,Decision Tree,SPSB,287,0.9666515867725748,1.0,3.333789329685364
Forward Planning,Decision Tree,FPSB,287,0.7744922211168284,0.6666666666666666,24.032192339038303
Forward Planning,Decision Tree,TPSB,284,0.878630305662849,2.0,54.638371290545194
Forward Planning,Proxy/Clock,SPSB,0,,1.0,
Forward Planning,Proxy/Clock,FPSB,293,0.9717613688816347,0.6666666666666666,46.199143468950766
Forward Planning,Proxy/Clock,TPSB,290,0.9353545168597261,2.0,53.032231852654384
Forward Planning,Menu Frame,SPSB,0,,1.0,
Forward Planning,Menu Frame,FPSB,293,0.8792247946365558,0.6666666666666666,40.81236616702357
Forward Planning,Menu Frame,TPSB,287,0.8975847670719266,2.0,53.93510928961749
Higher-Order Beliefs,Rational Others,SPSB,287,0.8455264030939541,1.0,10.982216142270863
Higher-Order Beliefs,Rational Others,FPSB,284,0.8715067695582128,0.6666666666666666,40.88633849557521
Higher-Order Beliefs,Rational Others,TPSB,287,0.80830224458763,2.0,55.48133061778683
Higher-Order Beliefs,First-Order,SPSB,287,0.8962970039796709,1.0,9.658456932916042
Higher-Order Beliefs,First-Order,FPSB,293,0.8372898061484603,0.6666666666666666,37.26512312633834
Higher-Order Beliefs,First-Order,TPSB,287,0.8473423917677986,2.0,56.3859910581222
Higher-Order Beliefs,Second-Order,SPSB,290,0.8301338938881564,1.0,13.962390866353257
Higher-Order Beliefs,Second-Order,FPSB,282,0.8863943363615133,0.6666666666666666,39.15458937198067
Higher-Order Beliefs,Second-Order,TPSB,290,0.7605541342376028,2.0,59.21187931267759
Higher-Order Beliefs,Common Know,SPSB,290,0.9132963060705963,1.0,7.067281606077052
