value,bid,auction_type,n_bidders,source,skew_parameter
3.129019023752236,2.7,FPSB,5,kagel_levin_1993,-15.99827411895721
7.005685508092658,7.1000000000000005,FPSB,5,kagel_levin_1993,-15.99827411895721
25.819940316899302,19.900000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
4.47829031410202,3.1,FPSB,5,kagel_levin_1993,-15.99827411895721
13.03777805454991,10.0,FPSB,5,kagel_levin_1993,-15.99827411895721
0.9836509474963114,0.0,FPSB,5,kagel_levin_1993,-15.99827411895721
10.755769967433492,7.7,FPSB,5,kagel_levin_1993,-15.99827411895721
19.591375691045222,19.0,FPSB,5,kagel_levin_1993,-15.99827411895721
18.840187591042785,10.9,FPSB,5,kagel_levin_1993,-15.99827411895721
23.513354455325967,20.3,FPSB,5,kagel_levin_1993,-15.99827411895721
7.615372560421019,6.9,FPSB,5,kagel_levin_1993,-15.99827411895721
6.7697015070169595,2.3000000000000003,FPSB,5,kagel_levin_1993,-15.99827411895721
25.241939734550954,21.5,FPSB,5,kagel_levin_1993,-15.99827411895721
5.1033705639726925,4.6000000000000005,FPSB,5,kagel_levin_1993,-15.99827411895721
18.657368802173497,16.7,FPSB,5,kagel_levin_1993,-15.99827411895721
5.853675601286498,5.0,FPSB,5,kagel_levin_1993,-15.99827411895721
27.87142841780697,25.200000000000003,FPSB,5,kagel_levin_1993,-15.99827411895721
9.970925607229095,10.200000000000001,FPSB,5,kagel_levin_1993,-15.99827411895721
4.083209721947891,3.3000000000000003,FPSB,5,kagel_levin_1993,-15.99827411895721
23.43577207031872,19.200000000000003,FPSB,5,kagel_levin_1993,-15.99827411895721
27.777913672897885,23.700000000000003,FPSB,5,kagel_levin_1993,-15.99827411895721
14.402141856110877,13.700000000000001,FPSB,5,kagel_levin_1993,-15.99827411895721
6.313073838666705,3.9000000000000004,FPSB,5,kagel_levin_1993,-15.99827411895721
0.7812674390829633,0.0,FPSB,5,kagel_levin_1993,-15.99827411895721
11.834112760445992,10.600000000000001,FPSB,5,kagel_levin_1993,-15.99827411895721
13.16201312600065,11.9,FPSB,5,kagel_levin_1993,-15.99827411895721
26.1534003782503,22.8,FPSB,5,kagel_levin_1993,-15.99827411895721
15.515197855786841,14.5,FPSB,5,kagel_levin_1993,-15.99827411895721
9.374234494928,8.0,FPSB,5,kagel_levin_1993,-15.99827411895721
3.085238098468522,0.7000000000000001,FPSB,5,kagel_levin_1993,-15.99827411895721
20.36057961509615,17.5,FPSB,5,kagel_levin_1993,-15.99827411895721
27.22284538266015,22.900000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
19.25775376249557,18.8,FPSB,5,kagel_levin_1993,-15.99827411895721
12.119738739379232,11.0,FPSB,5,kagel_levin_1993,-15.99827411895721
5.5547301208767275,4.0,FPSB,5,kagel_levin_1993,-15.99827411895721
13.824335768728874,13.9,FPSB,5,kagel_levin_1993,-15.99827411895721
10.22029771874881,9.8,FPSB,5,kagel_levin_1993,-15.99827411895721
18.2035049257707,16.900000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
18.845546502974432,17.900000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
27.70115750348845,25.400000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
26.682699915385545,25.6,FPSB,5,kagel_levin_1993,-15.99827411895721
3.902760618160599,4.2,FPSB,5,kagel_levin_1993,-15.99827411895721
20.297942207474854,17.400000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
21.85195386235712,17.8,FPSB,5,kagel_levin_1993,-15.99827411895721
8.036625867556182,5.5,FPSB,5,kagel_levin_1993,-15.99827411895721
18.440236813820594,17.7,FPSB,5,kagel_levin_1993,-15.99827411895721
24.223715858846766,21.0,FPSB,5,kagel_levin_1993,-15.99827411895721
0.22480188095292428,0.0,FPSB,5,kagel_levin_1993,-15.99827411895721
0.7113737539341723,0.0,FPSB,5,kagel_levin_1993,-15.99827411895721
14.256054883821601,8.0,FPSB,5,kagel_levin_1993,-15.99827411895721
20.06960289898446,19.400000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
18.320609256980223,18.0,FPSB,5,kagel_levin_1993,-15.99827411895721
16.647041481426445,11.3,FPSB,5,kagel_levin_1993,-15.99827411895721
17.13580053548383,15.600000000000001,FPSB,5,kagel_levin_1993,-15.99827411895721
7.546437653963342,7.1000000000000005,FPSB,5,kagel_levin_1993,-15.99827411895721
13.31919302249506,10.600000000000001,FPSB,5,kagel_levin_1993,-15.99827411895721
17.845662257620145,13.5,FPSB,5,kagel_levin_1993,-15.99827411895721
1.9710081290258425,2.4000000000000004,FPSB,5,kagel_levin_1993,-15.99827411895721
22.20603940090892,18.7,FPSB,5,kagel_levin_1993,-15.99827411895721
8.857681944954694,6.800000000000001,FPSB,5,kagel_levin_1993,-15.99827411895721
26.419829999207703,22.3,FPSB,5,kagel_levin_1993,-15.99827411895721
1.0911880141473864,0.0,FPSB,5,kagel_levin_1993,-15.99827411895721
22.005111392150983,20.400000000000002,FPSB,5,kagel_levin_1993,-15.99827411895721
26.26105996506015,21.8,FPSB,5,kagel_levin_1993,-15.99827411895721
