player_value,bid,optimal_bid,bid_value_ratio,auction_type,treatment,treatment_name,source
0.3731729387729543,3.86,0.3731729387729543,10.34372967314358,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
1.5359610220051572,1.58,1.5359610220051572,1.028671937219703,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
3.3933415813598633,3.0,3.3933415813598633,0.8840842951029311,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
0.5686077063028067,2.5100000000000002,0.5686077063028067,4.414291210227326,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
1.29935572759236,1.22,1.29935572759236,0.9389268651323052,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
0.2385562561398552,1.06,0.2385562561398552,4.443396359215865,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
3.5686980677036226,3.52,3.5686980677036226,0.9863541081986353,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
4.596416273044421,3.7800000000000002,4.596416273044421,0.822379822769257,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
3.1093646547722686,3.46,3.1093646547722686,1.112767521393663,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
4.572433720285117,3.4,4.572433720285117,0.7435865029418055,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
0.6890614675964479,1.23,0.6890614675964479,1.7850366880772315,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
0.8621299837549579,0.8300000000000001,0.8621299837549579,0.9627318567265025,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
2.068579048067383,3.27,2.068579048067383,1.5807952821793645,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
2.239746986224729,2.71,2.239746986224729,1.2099580964579932,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
0.017194247704311327,0.14,0.017194247704311327,8.142257946237223,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
3.9041856810071964,3.88,3.9041856810071964,0.9938051919188031,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
2.953988213348675,2.95,2.953988213348675,0.99864988853691,SPSB,Traditional,Second-Price (Traditional Description),Gonczarowski_2022
