common_value,signal,bid,optimal_bid_rnne,naive_bid,eps,N,source
130.7176817659617,118.92086646384408,109.22537940672883,109.92086646384408,118.92086646384408,12,4,kagel_levin_1986
53.02603205830067,47.30467375145187,41.198379870814605,38.30467375145187,47.30467375145187,12,4,kagel_levin_1986
93.7008156428251,93.8650502238136,92.56887941530199,84.8650502238136,93.8650502238136,12,4,kagel_levin_1986
193.91799930203806,191.71388281758843,190.47119305253975,182.71388281758843,191.71388281758843,12,4,kagel_levin_1986
145.29254793505564,138.020699541939,130.00788724163402,129.020699541939,138.020699541939,12,4,kagel_levin_1986
72.93346824272429,75.65384902261397,74.50990097119961,66.65384902261397,75.65384902261397,12,4,kagel_levin_1986
109.51380194876042,117.69632978699676,97.89435438048359,108.69632978699676,117.69632978699676,12,4,kagel_levin_1986
155.77119086518877,147.5104335593277,147.76174006411802,138.5104335593277,147.5104335593277,12,4,kagel_levin_1986
78.17674062027095,75.45876533945233,70.09893486414879,66.45876533945233,75.45876533945233,12,4,kagel_levin_1986
191.012771745643,199.53889946068904,198.00974408823504,190.53889946068904,199.53889946068904,12,4,kagel_levin_1986
201.830440975471,208.1769172173905,197.3708091395889,199.1769172173905,208.1769172173905,12,4,kagel_levin_1986
36.969563404260256,32.258309170440455,26.16575980661237,23.258309170440455,32.258309170440455,12,4,kagel_levin_1986
81.0532470955182,77.25589316454054,64.58096266836355,68.25589316454054,77.25589316454054,12,4,kagel_levin_1986
45.89365253866564,40.435369079758075,36.68622789029618,31.435369079758075,40.435369079758075,12,4,kagel_levin_1986
208.2706449248057,210.12080305178554,217.8617609356601,201.12080305178554,210.12080305178554,12,4,kagel_levin_1986
112.61755199482752,107.47934400348177,98.58592282183842,98.47934400348177,107.47934400348177,12,4,kagel_levin_1986
163.73274348202898,157.58051811997484,149.4173643368684,148.58051811997484,157.58051811997484,12,4,kagel_levin_1986
222.9131811928337,217.92619386785182,211.45959145009644,208.92619386785182,217.92619386785182,12,4,kagel_levin_1986
121.31509938540923,127.8978800926565,125.02478420305981,118.8978800926565,127.8978800926565,12,4,kagel_levin_1986
37.44833000606525,41.550915502683054,40.14098721876781,32.550915502683054,41.550915502683054,12,4,kagel_levin_1986
95.8012587486892,103.75894209965381,97.22891108330718,94.75894209965381,103.75894209965381,12,4,kagel_levin_1986
117.55682122577396,106.57109126007455,95.41999003211875,97.57109126007455,106.57109126007455,12,4,kagel_levin_1986
105.08246791373328,96.0576757440481,96.21252817270916,87.0576757440481,96.0576757440481,12,4,kagel_levin_1986
218.67213086237572,209.24131627879714,207.3269359374574,200.24131627879714,209.24131627879714,12,4,kagel_levin_1986
66.76300365609511,74.69070483720338,66.99310259437858,65.69070483720338,74.69070483720338,12,4,kagel_levin_1986
221.4324280741149,226.63216650146796,223.02287498156898,217.63216650146796,226.63216650146796,12,4,kagel_levin_1986
99.59571196318709,110.78095547105988,95.54318081311845,101.78095547105988,110.78095547105988,12,4,kagel_levin_1986
206.28279940645186,205.65163604508504,196.54578452943295,196.65163604508504,205.65163604508504,12,4,kagel_levin_1986
120.08542184545999,127.16261197645221,114.83080984132678,118.16261197645221,127.16261197645221,12,4,kagel_levin_1986
167.8543617571185,158.35879461504828,155.86197247017512,149.35879461504828,158.35879461504828,12,4,kagel_levin_1986
172.40031890168564,162.81954050534966,157.8231838367946,153.81954050534966,162.81954050534966,12,4,kagel_levin_1986
143.17422267594964,141.8463748957575,139.98212663457676,132.8463748957575,141.8463748957575,12,4,kagel_levin_1986
28.997574819344663,24.458460426709372,18.84693288502482,15.458460426709372,24.458460426709372,12,4,kagel_levin_1986
174.99638888142212,185.88463844181257,179.46361490850558,176.88463844181257,185.88463844181257,12,4,kagel_levin_1986
135.76684478211905,124.01869158967475,118.6878650934267,115.01869158967475,124.01869158967475,12,4,kagel_levin_1986
181.38574726416175,171.0256712962948,162.31402449680402,162.0256712962948,171.0256712962948,12,4,kagel_levin_1986
40.1013553814195,30.871664994974797,32.05259797923561,21.871664994974797,30.871664994974797,12,4,kagel_levin_1986
88.43241368923657,79.76316519986165,67.45338422414015,70.76316519986165,79.76316519986165,12,4,kagel_levin_1986
159.18494239432917,170.00153224779928,167.83180689548354,161.00153224779928,170.00153224779928,12,4,kagel_levin_1986
