common_value,signal,dropout_price,optimal_dropout,eps,N,experience,source
206.62733994917676,209.2073829686329,209.23404229133126,209.2073829686329,12,4,pooled,levin_kagel_richard_1996
230.41304966506877,240.9459888180739,234.74911255116314,240.9459888180739,12,4,pooled,levin_kagel_richard_1996
229.33195016612908,223.42212356280567,231.81967521590988,223.42212356280567,12,4,pooled,levin_kagel_richard_1996
174.9337628447148,186.31532876620022,168.48662047032022,186.31532876620022,12,4,pooled,levin_kagel_richard_1996
192.27487295052367,180.97698380714849,182.9289531665916,180.97698380714849,12,4,pooled,levin_kagel_richard_1996
77.61508683882681,78.28116549489546,81.13085073166637,78.28116549489546,12,4,pooled,levin_kagel_richard_1996
107.26916253792052,101.41515448522641,101.4030583251409,101.41515448522641,12,4,pooled,levin_kagel_richard_1996
120.30859048238042,130.38976694053946,124.12155214441,130.38976694053946,12,4,pooled,levin_kagel_richard_1996
77.91194859107127,71.65973736697974,70.94243238321508,71.65973736697974,12,4,pooled,levin_kagel_richard_1996
239.873950101771,243.26244790943744,241.6151774555349,243.26244790943744,12,4,pooled,levin_kagel_richard_1996
80.1451789302605,83.94889871891408,84.69047238041671,83.94889871891408,12,4,pooled,levin_kagel_richard_1996
87.19852093014227,93.01000991915379,85.7825549950861,93.01000991915379,12,4,pooled,levin_kagel_richard_1996
53.02662324166527,42.49156342095373,45.66072549569304,42.49156342095373,12,4,pooled,levin_kagel_richard_1996
60.42654329373012,66.3185073153926,68.92279905196133,66.3185073153926,12,4,pooled,levin_kagel_richard_1996
105.01349918493185,94.07012079690595,98.17941134235691,94.07012079690595,12,4,pooled,levin_kagel_richard_1996
230.50277115639096,234.59621291482404,233.15244094653715,234.59621291482404,12,4,pooled,levin_kagel_richard_1996
234.71761811129343,231.8977198316865,231.6017718720621,231.8977198316865,12,4,pooled,levin_kagel_richard_1996
113.7239072160639,116.4576781831599,119.49750740786128,116.4576781831599,12,4,pooled,levin_kagel_richard_1996
82.68077423279965,74.19450620746643,70.27054641252045,74.19450620746643,12,4,pooled,levin_kagel_richard_1996
106.3143384070892,109.56668230596529,112.06460203272482,109.56668230596529,12,4,pooled,levin_kagel_richard_1996
110.31538799630569,102.47708928107348,101.6953221928827,102.47708928107348,12,4,pooled,levin_kagel_richard_1996
233.37161256379602,225.8260023097512,228.0737718514338,225.8260023097512,12,4,pooled,levin_kagel_richard_1996
214.5949916811376,226.05451329989413,220.08197996397138,226.05451329989413,12,4,pooled,levin_kagel_richard_1996
225.33726169080666,236.6314884944434,241.6234113525014,236.6314884944434,12,4,pooled,levin_kagel_richard_1996
239.89295481642148,230.32313269079145,233.05934749125538,230.32313269079145,12,4,pooled,levin_kagel_richard_1996
247.71879289712896,253.92663976163908,254.8442868060778,253.92663976163908,12,4,pooled,levin_kagel_richard_1996
72.7208436681837,72.09703820381307,63.470960281003116,72.09703820381307,12,4,pooled,levin_kagel_richard_1996
87.92216884236836,85.11607885615886,90.70533991016788,85.11607885615886,12,4,pooled,levin_kagel_richard_1996
155.73317040406178,166.39470273633435,161.67082163436123,166.39470273633435,12,4,pooled,levin_kagel_richard_1996
142.9005589928687,149.8921702987625,146.30130788550375,149.8921702987625,12,4,pooled,levin_kagel_richard_1996
156.81076066585655,163.09567130034964,162.26595961597562,163.09567130034964,12,4,pooled,levin_kagel_richard_1996
180.62151012721108,175.18051527251436,172.83349635958456,175.18051527251436,12,4,pooled,levin_kagel_richard_1996
