round,bidder,value,bid,winner,AC,Blind
0,Bidder Andy,66.0,33.0,True,False,True
0,Bidder Betty,31.0,6.0,False,False,True
0,Bidder Charles,98.0,1.0,False,False,True
1,Bidder Andy,59.0,41.0,True,False,True
1,Bidder Betty,79.0,16.0,False,False,True
1,Bidder Charles,4.0,4.0,False,False,True
2,Bidder Andy,23.0,10.0,False,False,True
2,Bidder Betty,94.0,19.0,False,False,True
2,Bidder Charles,62.0,62.0,True,False,True
3,Bidder Andy,99.0,74.0,True,False,True
3,Bidder Betty,47.0,28.0,False,False,True
3,Bidder Charles,18.0,18.0,False,False,True
4,Bidder Andy,3.0,1.0,False,False,True
4,Bidder Betty,25.0,20.0,False,False,True
4,Bidder Charles,86.0,81.0,True,False,True
5,Bidder Andy,40.0,14.0,False,False,True
5,Bidder Betty,67.0,47.0,False,False,True
5,Bidder Charles,58.0,55.0,True,False,True
6,Bidder Andy,48.0,19.0,False,False,True
6,Bidder Betty,59.0,47.0,False,False,True
6,Bidder Charles,49.0,48.0,True,False,True
7,Bidder Andy,81.0,65.0,True,False,True
7,Bidder Betty,43.0,32.0,False,False,True
7,Bidder Charles,16.0,1.0,False,False,True
8,Bidder Andy,22.0,9.0,False,False,True
8,Bidder Betty,28.0,20.0,False,False,True
8,Bidder Charles,43.0,40.0,True,False,True
9,Bidder Andy,54.0,32.0,False,False,True
9,Bidder Betty,43.0,35.0,False,False,True
9,Bidder Charles,49.0,46.0,True,False,True
10,Bidder Andy,11.0,3.0,False,False,True
10,Bidder Betty,17.0,10.0,False,False,True
10,Bidder Charles,47.0,42.0,True,False,True
11,Bidder Andy,66.0,46.0,False,False,True
11,Bidder Betty,96.0,48.0,True,False,True
11,Bidder Charles,17.0,12.0,False,False,True
12,Bidder Andy,25.0,13.0,False,False,True
12,Bidder Betty,99.0,59.0,True,False,True
12,Bidder Charles,26.0,21.0,False,False,True
13,Bidder Andy,56.0,36.0,False,False,True
13,Bidder Betty,44.0,22.0,False,False,True
13,Bidder Charles,63.0,58.0,True,False,True
14,Bidder Andy,94.0,85.0,True,False,True
14,Bidder Betty,3.0,2.0,False,False,True
14,Bidder Charles,39.0,34.0,False,False,True
0,Bidder Andy,21.0,10.0,False,False,True
0,Bidder Betty,86.0,17.0,True,False,True
0,Bidder Charles,70.0,15.0,False,False,True
1,Bidder Andy,40.0,12.0,False,False,True
1,Bidder Betty,45.0,9.0,False,False,True
1,Bidder Charles,30.0,15.0,True,False,True
2,Bidder Andy,77.0,62.0,False,False,True
2,Bidder Betty,99.0,20.0,False,False,True
2,Bidder Charles,97.0,75.0,True,False,True
3,Bidder Andy,93.0,78.0,False,False,True
3,Bidder Betty,74.0,15.0,False,False,True
3,Bidder Charles,84.0,79.0,True,False,True
4,Bidder Andy,54.0,27.0,False,False,True
4,Bidder Betty,48.0,38.0,False,False,True
4,Bidder Charles,79.0,77.0,True,False,True
5,Bidder Andy,69.0,41.0,False,False,True
5,Bidder Betty,8.0,6.0,False,False,True
5,Bidder Charles,49.0,49.0,True,False,True
6,Bidder Andy,81.0,69.0,True,False,True
