model,experiment,total_observations,total_wins,profit_mean,profit_std,profit_min,profit_max,bid_mean,bid_std,player_value_mean,player_value_min,player_value_max
claude-3-5-haiku-20241022,ascending_clock_closed,150,50,4.31,8.287953172239508,-0.5,39.5,26.033333333333335,15.291317300594876,26.086666666666666,0,49
claude-3-5-haiku-20241022,axis1_contingent_baseline,141,47,2.4943262411347518,5.47924360068647,-4.5,29.5,26.98014184397163,11.575523560255162,26.00709219858156,0,49
claude-3-5-haiku-20241022,axis1_contingent_dominated,150,50,2.8133333333333335,5.5139684325103255,0.0,32.0,27.120666666666665,11.630671650532722,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis1_contingent_enumerate,150,50,3.11,5.92292497575787,-4.700000000000003,30.5,25.712,11.280058546185353,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis1_contingent_worstcase,150,50,3.0606666666666666,5.811258416624361,-1.5,32.0,26.22266666666667,11.371164205634305,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis2_forward_backward_induct,150,50,3.3973333333333335,6.177681703553935,0.0,32.8,25.147333333333332,10.790971223910166,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis2_forward_baseline,150,50,2.8073333333333337,5.695966978576078,-4.0,30.5,26.572666666666667,10.717757307395226,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis2_forward_onestep,150,50,2.9846666666666666,5.88601729122271,-3.0,32.0,26.504666666666665,11.475578601994727,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis2_forward_tree,150,50,3.329333333333333,6.23442000840201,-2.0,31.5,25.387333333333334,11.474566545404741,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis3_beliefs_baseline,150,50,2.993333333333333,6.016182502348646,-5.0,30.5,26.346,11.101324849891512,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis3_beliefs_common_knowledge,150,50,3.5980000000000003,6.456799859801308,0.0,32.1,24.920666666666666,11.355354096930077,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis3_beliefs_firstorder,150,50,2.857333333333333,6.000417733407525,-4.699999999999999,31.3,26.202,10.706364349483563,26.206666666666667,0,49
claude-3-5-haiku-20241022,axis3_beliefs_secondorder,150,50,3.154,6.196791007605977,-4.699999999999999,29.5,25.614666666666665,10.734222926437287,26.206666666666667,0,49
claude-3-5-haiku-20241022,loss_aversion_WTA_WTP,150,50,2.9886666666666666,5.97868177729702,-0.6999999999999993,33.0,26.224,11.494000068900842,26.206666666666667,0,49
claude-3-5-haiku-20241022,loss_aversion_baseline,150,50,2.501333333333333,5.402025305838699,-4.5,29.5,27.114,11.673299022432095,26.206666666666667,0,49
claude-3-5-haiku-20241022,loss_aversion_endowment,126,42,3.16031746031746,6.150279074839832,-2.0,32.5,26.152380952380952,11.43506686844088,26.26984126984127,0,49
claude-3-5-haiku-20241022,loss_aversion_gain_frame,120,40,2.985,5.873765201900635,-5.0,31.3,26.352500000000003,11.407516042895033,26.45,0,49
claude-3-5-haiku-20241022,loss_aversion_loss_frame,150,50,3.1359999999999997,6.11414116190091,-3.700000000000003,30.5,26.067999999999998,11.535694938672776,26.206666666666667,0,49
claude-3-5-haiku-20241022,loss_aversion_mixed_frame,150,50,2.6933333333333334,5.616916762334012,-5.5,30.5,27.204,11.243455247655866,26.206666666666667,0,49
claude-3-5-haiku-20241022,risk_averse,129,43,4.493023255813954,7.594880945068689,0.0,34.5,22.844961240310077,10.643828620087719,26.333333333333332,0,49
claude-3-5-haiku-20241022,risk_neutrality,147,49,2.6789115646258503,5.4260310085571986,-1.5,29.5,26.928571428571427,10.974815503800771,26.20408163265306,0,49
claude-3-5-haiku-20241022,risk_seeking,150,50,-0.34600000000000025,4.476510355895869,-12.700000000000005,22.0,34.608666666666664,10.512644586252694,26.206666666666667,0,49
claude-3-5-haiku-20241022,spsb,150,50,4.3580000000000005,8.27902070855107,0.0,41.5,25.593999999999998,14.35687160965464,26.086666666666666,0,49
gemini-2.0-flash,ascending_clock_closed,120,40,4.425,8.38206618999429,0.0,42.0,24.658333333333335,14.591781866489631,25.9,0,49
gemini-2.0-flash,axis1_contingent_baseline,150,50,3.2946666666666666,6.303932794699629,0.0,34.5,25.410666666666668,11.506672395601031,26.206666666666667,0,49
gemini-2.0-flash,axis1_contingent_dominated,150,50,3.7333333333333334,6.677535882240766,0.0,34.1,24.186666666666667,11.771132170386453,26.206666666666667,0,49
gemini-2.0-flash,axis1_contingent_enumerate,150,50,3.4033333333333333,6.444303625451104,0.0,32.0,25.309333333333335,11.731929395364075,26.206666666666667,0,49
