variant,model_folder,model_label,condition,condition_folder,mechanism_type,n_markets,n_students,mean_tau_pct,se_naive_pct,se_boot_pct,ci95_lo_pct,ci95_hi_pct,mean_tau_tierobust_pct,truthful_rate_pct,n_decisions_total,n_decisions_informative,n_yesno_decisions,n_pick_decisions,n_misreports,misreport_rate_pct,n_truthfulYES_nodes,type1_false_rejections,type1_rate_pct,n_truthfulNO_nodes,type2_false_acceptances,type2_rate_pct,rule3_upper_misreport_pct,rule3_upper_type1_pct,rule3_upper_type2_pct,n_parse_errors,note
da,claude,Claude 3.5 Haiku,axis1_backward_induct,axis1_backward_induct,direct,46,184,5.88768,0.83263,0.769949,4.34783,7.42754,5.70652,74.4565,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis1_dominated,axis1_dominated,direct,50,200,8.83333,0.77393,0.778774,7.33333,10.4167,8.5,55.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis1_enumerate,axis1_enumerate,direct,50,200,12.9167,1.16023,1.12793,10.8333,15.1667,12.5,48.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis1_onestep,axis1_onestep,direct,50,200,5.5,0.775731,0.639956,4.33125,6.83333,5.41667,73.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis1_tree,axis1_tree,direct,50,200,2,0.508992,0.505149,1,3.08333,1.91667,91,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis1_worstcase,axis1_worstcase,direct,50,200,6.5,0.972758,0.809127,5,8.16667,6.33333,72,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis2_0step,axis2_0step,direct,50,200,9.83333,0.81161,0.854025,8.25,11.5,9.41667,51,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis2_1step,axis2_1step,direct,47,188,5.4078,0.820517,0.706985,4.07801,6.82624,5.2305,76.0638,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis2_2step,axis2_2step,direct,50,200,6.66667,0.88413,0.805787,5.16458,8.33333,6.5,71,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis2_fullsim,axis2_fullsim,direct,50,200,5.08333,0.828693,0.657759,3.83333,6.41667,4.83333,78.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis2_monotonic_options,axis2_monotonic_options,direct,50,200,2.33333,0.487705,0.479304,1.41667,3.33333,2.33333,88.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis2_monotonic_outcome,axis2_monotonic_outcome,direct,50,200,6.5,0.882471,0.743872,5,7.91667,6.41667,74,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis2_monotonic_safety,axis2_monotonic_safety,direct,50,200,0.833333,0.38737,0.370593,0.25,1.66667,0.833333,97,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis3_common_knowledge,axis3_common_knowledge,direct,50,200,8.75,1.07596,1.1797,6.58333,11.1667,8.5,66.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis3_firstorder,axis3_firstorder,direct,50,200,8.16667,0.915085,0.870339,6.5,10,8,65,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,axis3_secondorder,axis3_secondorder,direct,50,200,13.0833,1.03591,0.892781,11.3312,14.8333,12.0833,44,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,direct_baseline,direct_baseline,direct,50,200,5.75,0.823624,0.818095,4.25,7.5,5.41667,76,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,direct_menu_mechanics,direct_menu_mechanics,direct,50,200,6.75,0.810814,0.759541,5.25,8.16667,6.58333,68,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,direct_menu_property,direct_menu_property,direct,50,200,2.08333,0.486236,0.456042,1.25,3,2.08333,90.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,direct_null,direct_null,direct,50,200,8.66667,1.09539,1.05236,6.66667,10.7521,8.33333,66,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,direct_textbook_sp,direct_textbook_sp,direct,50,200,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,intervention_risk_averse,intervention_risk_averse,direct,50,200,19.8333,1.42948,1.40197,17.25,22.7521,19,28.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,intervention_risk_neutral,intervention_risk_neutral,direct,50,200,9.5,0.822883,0.749832,8,10.9167,9.25,54.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,intervention_risk_seeking,intervention_risk_seeking,direct,42,168,19.6429,1.47131,1.50883,16.7659,22.5223,19.0476,33.3333,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,loss_aversion_WTA_WTP,loss_aversion_WTA_WTP,direct,50,200,25.1667,1.19317,1.13603,22.9167,27.3333,24.4167,16,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,loss_aversion_endowment,loss_aversion_endowment,direct,50,200,15.4167,1.21028,0.976748,13.5,17.3333,15,41,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,loss_aversion_gain_frame,loss_aversion_gain_frame,direct,50,200,12.25,1.23053,0.989019,10.3333,14.1667,12.0833,54.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,loss_aversion_loss_frame,loss_aversion_loss_frame,direct,50,200,13.5833,1.07037,0.954662,11.75,15.5,13.0833,42,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,loss_aversion_mixed_frame,loss_aversion_mixed_frame,direct,50,200,8.08333,0.868018,0.785641,6.58333,9.66667,7.75,61.5,,,,,,,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,osp_baseline,osp_baseline,osp,49,196,0,0,0,0,0,0,97.449,369,346,0,369,0,0,,,,,,,0.867052,,,0,
da,claude,Claude 3.5 Haiku,osp_yesno,osp_yesno,osp,46,184,0.996377,0.604817,0.603929,0.0905797,2.35507,0.996377,90.2174,337,318,0,337,13,4.08805,,,,,,,,,,0,
da,claude,Claude 3.5 Haiku,osp_yesno_fixed,osp_yesno_fixed,osp,36,144,0,0,0,0,0,0,84.7222,230,194,129,101,16,8.24742,54,13,24.0741,75,2,2.66667,,,,0,
da,gemini,Gemini 2.0 Flash,axis1_backward_induct,axis1_backward_induct,direct,45,180,3.42593,0.597389,0.529311,2.40741,4.44444,3.42593,82.7778,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis1_dominated,axis1_dominated,direct,50,200,5.08333,0.649244,0.601188,3.91667,6.33333,4.91667,74,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis1_enumerate,axis1_enumerate,direct,50,200,4.08333,0.673515,0.64568,2.91667,5.41667,4,79.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis1_onestep,axis1_onestep,direct,50,200,7.58333,0.987057,1.02525,5.66667,9.66667,7.33333,72,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis1_tree,axis1_tree,direct,50,200,2.83333,0.810921,0.71939,1.5,4.33333,2.66667,93,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis1_worstcase,axis1_worstcase,direct,50,200,3.58333,0.634895,0.626396,2.33333,4.83333,3.58333,84.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis2_0step,axis2_0step,direct,50,200,2.08333,0.390734,0.321782,1.5,2.75,2.08333,87.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis2_1step,axis2_1step,direct,46,184,8.33333,0.9439,0.872617,6.61232,10.0543,8.24275,63.587,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis2_2step,axis2_2step,direct,50,200,5.5,0.719727,0.740868,4.08333,7.08333,5.33333,73,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis2_fullsim,axis2_fullsim,direct,50,200,7.75,0.914227,0.917279,6.08125,9.58333,7.58333,66.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis2_monotonic_options,axis2_monotonic_options,direct,50,200,0.0833333,0.0833333,0.0819443,0,0.25,0.0833333,99.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis2_monotonic_outcome,axis2_monotonic_outcome,direct,50,200,0.416667,0.184457,0.176604,0.0833333,0.75,0.416667,97.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis2_monotonic_safety,axis2_monotonic_safety,direct,50,200,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis3_common_knowledge,axis3_common_knowledge,direct,50,200,8.58333,1.06317,1.04589,6.66458,10.75,8.5,66.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis3_firstorder,axis3_firstorder,direct,50,200,4.83333,0.684742,0.62362,3.66667,6.08542,4.66667,77.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,axis3_secondorder,axis3_secondorder,direct,49,196,7.14286,0.781345,0.897341,5.44218,8.92857,6.80272,64.7959,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,direct_baseline,direct_baseline,direct,50,200,7.58333,0.850309,0.797011,6.08333,9.16667,7.25,65.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,direct_menu_mechanics,direct_menu_mechanics,direct,50,200,3.08333,0.63709,0.559501,2,4.16667,3,88.5,,,,,,,,,,,,,,,,0,
da,gemini,Gemini 2.0 Flash,direct_menu_property,direct_menu_property,direct,50,200,0.333333,0.165406,0.153369,0.0833333,0.666667,0.333333,98,,,,,,,,,,,,,,,,0,
