source,model,experiment,mechanism,run_id,value,bid,plan,dominance_language,truthful_intent,payment_rule_correct,second_price_mention,first_price_mention,opponent_modeling,probability_reasoning,expected_value_reasoning,shading_intent,overbid_intent,worst_case,safety_recognition,overpay_concern,zero_profit_fallacy,margin_language,conservative_language,aggressive_language,risk_language,n_words,deviation,abs_dev,family
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,23.0,12.0,"Since this is the only round, I need to maximize potential profit. My value is $23. I should bid slightly above what I expect the others to bid, but not so high that I overpay. Given the endowment of $49, I can afford to be somewhat aggressive. I'll bid $12. This is below my value, aiming to win against potentially conservative bidders, while still leaving a good profit margin if successful.",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,71,-11.0,11.0,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,18.0,10.0,"Given this is the final round and my value is $18, I need to bid strategically. I want to win if the second-highest bid is low enough to make a profit. Bidding too high risks overpaying. Bidding too low risks losing to a slightly higher bid. I will bid $10. This aims to win against bids below $10 and avoids overpaying if others value the item highly. It also leaves some endowment for future (hypothetical) rounds.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,76,-8.0,8.0,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,25.0,17.0,"My value is $25. Since this is a single round game, I need to balance the potential gain with the risk of overpaying. I'll bid slightly above the midpoint of possible values, aiming to win against conservative bidders, but avoid escalating into a bidding war. Given my $49 endowment, I can afford to bid aggressively up to $49. A bid of $17 should secure a win against many possible bids while leaving a comfortable margin.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,75,-8.0,8.0,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,20.0,12.5,"My value is $20. Since this is the only round, I need to be somewhat aggressive. I want to win if my value is higher than the second-highest bid. I will bid slightly above what I estimate the others might bid, but not too high to avoid overpaying. Given the endowment of $49 and the possible values, a bid around $10-$15 seems reasonable to secure a win if others are conservative.",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,71,-7.5,7.5,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,29.0,14.6,"My value is $29. Since this is a single round, I need to balance winning with avoiding overpaying. I will bid slightly above the midpoint of my value and zero, aiming for around $14.50. This increases my chance of winning without risking a large payment. Given the endowment of $49, I can afford to be aggressive, but a conservative bid is reasonable given the limited information.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,66,-14.4,14.4,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,45.0,27.5,"My value is $45. Given this is the only round, I want to win if my value is significantly higher than what others might bid. I'll bid slightly above the midpoint of possible values, aiming to capture wins when my value is good, but avoid overpaying when it's low. I'll bid $27.50, hoping to win against potentially conservative bids.",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,59,-17.5,17.5,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,27.0,22.1,"Since this is the only round, I need to maximize potential profit. My value is $27. I will bid slightly above the midpoint of possible second-highest bids, aiming to win against conservative bidders while avoiding overpaying. Given the endowment of $49, I'm willing to risk up to $22 to win. I'll bid $22.1, hoping to win against bids under $22.1 and not pay too much if others bid higher.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,69,-4.899999999999999,4.899999999999999,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,31.0,25.5,"Since this is the only round, I need to maximize my expected profit. My value is $31. I'll bid slightly above what I expect the second highest bid to be, but cautiously, as I don't want to overpay. Given the endowment of $49, I'm willing to risk a bid in the $20s. I will bid $25.50, hoping to win against bids likely to be lower, while still keeping the payment reasonable.",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,71,-5.5,5.5,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,20.0,10.1,"Given my value of $20 and a starting endowment of $49, I need to bid strategically to maximize profit. Since it's round 1, there's no history to learn from. I want to win if possible, but avoid overpaying. A bid slightly above the midpoint of the possible range (0-49) seems reasonable. I'll bid $10.1, hoping to win against potentially conservative bidders, while keeping the payment low.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,66,-9.9,9.9,loss_D
combined_csv,google/gemma-3-27b-it,loss_aversion_loss_frame,spsb_sealed,google/gemma|loss_aversion_loss_frame|2026-02-03_22-09-27-084849,30.0,24.5,"My value is $30. Since this is the only round, I need to bid aggressively enough to win if the prize is worth it, but not so high I overpay. Given my endowment of $49, I can afford to bid quite high. I will bid slightly above the midpoint of my value and the endowment, aiming for $24.50. This balances winning probability with potential profit.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,65,-5.5,5.5,loss_D
