Axis,Intervention,Baseline,N,Mean_Shading,Diff_from_Baseline,t_statistic,p_value,significant
Axis 1: Contingent Reasoning,Enumerate,Baseline,290,0.1380750121580634,-0.03251919032087844,1.4182554842127002,0.15665510922688497,
Axis 1: Contingent Reasoning,Dominated,Baseline,290,0.160574376526176,-0.01001982595276582,0.5356642674758969,0.5923966540901,
Axis 1: Contingent Reasoning,Worst-case,Baseline,287,0.19881025313569164,0.028216050656749814,-1.4074626360530915,0.15983058740369688,
Axis 2: Forward Planning,Backward Induct,Baseline,290,0.10042232119284382,0.03532356891570736,-2.8824531402491034,0.004093382912995945,***
Axis 2: Forward Planning,One-step,Baseline,290,0.15097027176362765,0.08587151948649119,-5.6601586126159695,2.3887276809537e-08,***
Axis 2: Forward Planning,Decision Tree,Baseline,287,0.03334841322742527,-0.03175033904971119,3.089528133173265,0.0021021214635886945,***
Axis 3: Higher-Order Beliefs,First-order,Baseline,287,0.10370299602032922,-0.05077060088571665,2.9748270474945713,0.003055256116709767,***
Axis 3: Higher-Order Beliefs,Second-order,Baseline,290,0.16986610611184366,0.015392509205797794,-0.8129696142280541,0.41657195815064896,
Axis 3: Higher-Order Beliefs,Common Knowledge,Baseline,290,0.0867036939294037,-0.06776990297664216,4.257095722370431,2.4184202718711142e-05,***
Loss Aversion,Gain Frame,Baseline,290,0.16098103443917802,-0.01083998324801086,0.5479107649628844,0.5839658059949209,
Loss Aversion,Loss Frame,Baseline,287,0.20990694909290067,0.03808593140571179,-1.9649465635309296,0.049903982597480544,**
Loss Aversion,Mixed Frame,Baseline,290,0.23020110204145422,0.05838008435426534,-2.8792755002662345,0.00413425627885545,***
Loss Aversion,Endowment,Baseline,287,0.2102181770812505,0.03839715939406163,-1.9118627623597633,0.05639311315825986,*
Loss Aversion,WTA/WTP,Baseline,290,0.06611706766235094,-0.10570395002483794,6.775796544257314,3.0689465522153394e-11,***
