setting_id,FP,SP,TP3,worst_rank,mean_rank
prospect_frame/WTA-WTP,1.7607,1.5948,106.3515,6.0,3.6667
risk_persona/risk-seeking,3.2134,4.8302,98.0991,7.0,4.3333
rule_explanation/explanation OFF,3.3184,3.0547,103.6581,8.0,4.6667
risk_persona/baseline (axis-pooled),1.3997,5.7345,112.5238,8.0,6.0
prospect_frame/baseline (loss-aversion),2.5587,5.1622,113.2278,8.0,6.6667
rule_explanation/explanation ON,3.3502,3.2172,100.6271,9.5,5.1667
temperature/T=0.5 (anchor),3.3502,3.2172,100.6271,9.5,5.1667
temperature/T=1.0,0.7392,7.5059,116.0305,11.0,7.3333
risk_persona/risk-neutral,3.868,5.3771,113.6005,11.0,9.0
prospect_frame/gain frame,1.9149,7.3037,118.3631,12.0,8.6667
temperature/T=0.1,3.8801,9.4283,104.8822,12.0,9.6667
prospect_frame/endowment,1.2438,8.8792,119.0958,13.0,8.6667
prospect_frame/mixed frame,5.8773,12.754,115.4934,15.0,12.6667
prospect_frame/loss frame,6.8637,11.6819,123.082,15.0,14.0
risk_persona/risk-averse,9.7871,12.6833,121.5216,15.0,14.3333
