cell_id,knob,setting,model,mechanism,baseline_id,note,source,n_bids,mean_dev_vs_value,llm_smad,llm_smad_lo,llm_smad_hi,llm_under_share,llm_equal_share,llm_over_share,llm_over_among_deviators,llm_over_vs_eq_share,human_smad,delta_smad,abs_delta_smad,human_over_share,dir_gap,wasserstein_pp,synth_source,status,smad_minus_baseline,p_level_vs_baseline,p_dir_vs_baseline
gpt-4o|FP|T0.5,temperature,T=0.5 (anchor),gpt-4o,FP,gpt-4o|FP|T0.5,canonical V10 anchor (= rule-explanation ON),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/fpsb_ipv'), None)",285,-2.0323,28.1141,25.9228,30.2299,90.8772,9.1228,0.0000,0.0000,83.1579,24.7639,3.3502,3.3502,0.4000,0.4000,7.5316,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|FP|T=0.1,temperature,T=0.1,gpt-4o,FP,gpt-4o|FP|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/fpsb_ipv_gpt4o_temp01'), None)",300,-1.3773,28.6440,26.7355,30.6427,83.0000,17.0000,0.0000,0.0000,94.3333,24.7639,3.8801,3.8801,0.4000,0.4000,10.0599,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,0.5299,0.7177,1.0000
gpt-4o|FP|T=1.0,temperature,T=1.0,gpt-4o,FP,gpt-4o|FP|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/fpsb_ipv_gpt4o_temp10'), None)",297,-2.5293,25.5031,23.4915,27.6873,93.6027,5.7239,0.6734,0.7143,84.1751,24.7639,0.7392,0.7392,0.4000,0.2734,5.2952,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-2.6110,0.0888,0.1652
gpt-4o|SP|T0.5,temperature,T=0.5 (anchor),gpt-4o,SP,gpt-4o|SP|T0.5,canonical V10 anchor (= rule-explanation ON),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/spsb_ipv'), None)",270,-1.5581,8.8632,7.6017,10.2994,74.0741,9.2593,16.6667,18.3673,16.6667,5.6460,3.2172,3.2172,67.2000,50.5333,18.8615,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|SP|T=0.1,temperature,T=0.1,gpt-4o,SP,gpt-4o|SP|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/spsb_ipv_gpt4o_temp01'), None)",294,-3.3429,15.0743,13.5774,16.6280,84.0136,5.7823,10.2041,10.8303,10.2041,5.6460,9.4283,9.4283,67.2000,56.9959,26.1921,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,6.2111,0.0000,0.0239
gpt-4o|SP|T=1.0,temperature,T=1.0,gpt-4o,SP,gpt-4o|SP|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/spsb_ipv_gpt4o_temp10'), None)",297,-2.3798,13.1519,11.5947,14.9993,84.1751,6.0606,9.7643,10.3943,9.7643,5.6460,7.5059,7.5059,67.2000,57.4357,22.1916,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,4.2887,0.0001,0.0148
gpt-4o|TP5|T0.5,temperature,T=0.5 (anchor),gpt-4o,TP5,gpt-4o|TP5|T0.5,canonical V10 anchor (= rule-explanation ON),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/third_price_ipv'), None)",500,-3.1694,46.2180,43.7320,48.7167,88.6000,4.0000,7.4000,7.7083,0.0000,7.6566,38.5614,38.5614,89.8000,82.4000,47.1789,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|TP5|T=0.1,temperature,T=0.1,gpt-4o,TP5,gpt-4o|TP5|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/third_price_ipv_gpt4o_temp01'), None)",250,-2.6264,44.1132,41.3909,46.7868,90.4000,3.6000,6.0000,6.2241,0.0000,7.6566,36.4566,36.4566,89.8000,83.8000,44.9626,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-2.1048,0.2570,0.4768
gpt-4o|TP5|T=1.0,temperature,T=1.0,gpt-4o,TP5,gpt-4o|TP5|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/third_price_ipv_gpt4o_temp10'), None)",250,-3.5612,48.2095,44.9479,51.5125,92.8000,4.0000,3.2000,3.3333,0.8000,7.6566,40.5529,40.5529,89.8000,86.6000,48.7781,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,1.9916,0.3407,0.0224
gpt-4o|TP3|T0.5,temperature,T=0.5 (anchor),gpt-4o,TP3,gpt-4o|TP3|T0.5,canonical V10 anchor (= rule-explanation ON),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/third_price_ipv_3player'), None)",288,-1.2865,108.2837,101.9961,114.8356,76.0417,4.5139,19.4444,20.3636,1.0417,7.6566,100.6271,100.6271,89.8000,70.3556,39.4934,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|TP3|T=0.1,temperature,T=0.1,gpt-4o,TP3,gpt-4o|TP3|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/third_price_ipv_gpt4o_temp01_3player'), None)",150,-1.3653,112.5388,104.7668,120.1231,97.3333,1.3333,1.3333,1.3514,0.0000,7.6566,104.8822,104.8822,89.8000,88.4667,39.8153,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,4.2550,0.4031,0.0000
gpt-4o|TP3|T=1.0,temperature,T=1.0,gpt-4o,TP3,gpt-4o|TP3|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/third_price_ipv_gpt4o_temp10_3player'), None)",150,-4.0967,123.6871,115.0557,131.8863,96.0000,1.3333,2.6667,2.7027,0.0000,7.6566,116.0305,116.0305,89.8000,87.1333,50.9636,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,15.4033,0.0045,0.0000
gpt-4o|SP-APV|T0.5,temperature,T=0.5 (anchor),gpt-4o,SP-APV,gpt-4o|SP-APV|T0.5,canonical V10 anchor (= rule-explanation ON),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/spsb_apv'), None)",291,-2.4189,10.9531,9.8013,12.0558,93.1271,0.0000,6.8729,6.8729,6.8729,9.3100,1.6431,1.6431,40.0000,33.1271,13.5859,li_2017_osp_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|SP-APV|T=0.1,temperature,T=0.1,gpt-4o,SP-APV,gpt-4o|SP-APV|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/spsb_apv_gpt4o_temp01'), None)",297,-2.6623,13.1341,12.1293,14.1910,88.8889,1.0101,10.1010,10.2041,10.1010,9.3100,3.8241,3.8241,40.0000,29.8990,14.6577,li_2017_osp_synthetic_bids.csv:5000 rows,ok,2.1810,0.0067,0.1606
gpt-4o|SP-APV|T=1.0,temperature,T=1.0,gpt-4o,SP-APV,gpt-4o|SP-APV|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/spsb_apv_gpt4o_temp10'), None)",300,-2.0007,13.0095,11.8052,14.2490,80.6667,5.6667,13.6667,14.4876,13.6667,9.3100,3.6995,3.6995,40.0000,26.3333,11.9221,li_2017_osp_synthetic_bids.csv:5000 rows,ok,2.0564,0.0148,0.0066
gpt-4o|AC|T0.5,temperature,T=0.5 (anchor),gpt-4o,AC,gpt-4o|AC|T0.5,canonical V10 anchor (= rule-explanation ON),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/ascending_clock_apv'), 'ascending_clock_apv_merged_results.csv')",106,0.0425,0.8279,0.6546,1.0204,0.0000,100.0000,0.0000,,0.0000,3.5400,-2.7121,2.7121,18.0000,18.0000,6.5308,li_2017_osp_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|AC|T=0.1,temperature,T=0.1,gpt-4o,AC,gpt-4o|AC|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/ascending_clock_apv_gpt4o_temp01'), None)",0,,,,,,,,,,3.5400,,,,,,,NA: no data found,,,
gpt-4o|AC|T=1.0,temperature,T=1.0,gpt-4o,AC,gpt-4o|AC|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/ascending_clock_apv_gpt4o_temp10'), None)",52,0.0192,1.0204,0.6672,1.4521,1.9231,98.0769,0.0000,0.0000,0.0000,3.5400,-2.5196,2.5196,18.0000,18.0000,6.3382,li_2017_osp_synthetic_bids.csv:5000 rows,ok,0.1925,0.3863,1.0000
gpt-4o|AC-B|T0.5,temperature,T=0.5 (anchor),gpt-4o,AC-B,gpt-4o|AC-B|T0.5,canonical V10 anchor (= rule-explanation ON),"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/ascending_clock_apv_closed'), 'ascending_clock_apv_closed_merged_results.csv')",114,0.0307,0.4834,0.3222,0.6445,0.0000,100.0000,0.0000,,0.0000,5.8300,-5.3466,5.3466,40.0000,40.0000,2.9633,breitmoser_2022_clock_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|AC-B|T=0.1,temperature,T=0.1,gpt-4o,AC-B,gpt-4o|AC-B|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/ascending_clock_apv_closed_gpt4o_temp01'), None)",0,,,,,,,,,,5.8300,,,,,,,NA: no data found,,,
gpt-4o|AC-B|T=1.0,temperature,T=1.0,gpt-4o,AC-B,gpt-4o|AC-B|T0.5,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/ascending_clock_apv_closed_gpt4o_temp10'), None)",8,-0.4875,2.1939,0.3571,4.6939,37.5000,62.5000,0.0000,0.0000,0.0000,5.8300,-3.6361,3.6361,40.0000,40.0000,3.1679,breitmoser_2022_clock_synthetic_bids.csv:5000 rows,ok,1.7105,0.2166,1.0000
gpt-4o|CV-FP|T0.5,temperature,T=0.5 (anchor),gpt-4o,CV-FP,gpt-4o|CV-FP|T0.5,profit-based CV metric,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/common_value_first'), 'first')",96,,59.9896,53.0936,66.8760,,,,,,47.5900,12.3996,12.3996,,,,NA (CV: profit-based metric),ok,,,
gpt-4o|CV-FP|T=0.1,temperature,T=0.1,gpt-4o,CV-FP,gpt-4o|CV-FP|T0.5,profit-based CV metric,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/common_value_first_gpt4o_temp01'), 'first')",30,,39.0000,30.7500,47.1667,,,,,,47.5900,-8.5900,8.5900,,,,NA (CV: profit-based metric),ok,-20.9896,0.0003,
gpt-4o|CV-FP|T=1.0,temperature,T=1.0,gpt-4o,CV-FP,gpt-4o|CV-FP|T0.5,profit-based CV metric,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/common_value_first_gpt4o_temp10'), 'first')",30,,42.9167,32.3325,54.4850,,,,,,47.5900,-4.6733,4.6733,,,,NA (CV: profit-based metric),ok,-17.0729,0.0162,
gpt-4o|CV-SP|T0.5,temperature,T=0.5 (anchor),gpt-4o,CV-SP,gpt-4o|CV-SP|T0.5,profit-based CV metric,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/experiment_logs/V10/common_value_second'), 'second')",92,,40.6033,34.8040,46.5329,,,,,,18.2300,22.3733,22.3733,,,,NA (CV: profit-based metric),ok,,,
gpt-4o|CV-SP|T=0.1,temperature,T=0.1,gpt-4o,CV-SP,gpt-4o|CV-SP|T0.5,profit-based CV metric,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/common_value_second_gpt4o_temp01'), 'second')",100,,35.5125,30.5287,41.0554,,,,,,18.2300,17.2825,17.2825,,,,NA (CV: profit-based metric),ok,-5.0908,0.2050,
gpt-4o|CV-SP|T=1.0,temperature,T=1.0,gpt-4o,CV-SP,gpt-4o|CV-SP|T0.5,profit-based CV metric,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/robustness_logs/common_value_second_gpt4o_temp10'), 'second')",99,,33.5303,28.7898,38.8421,,,,,,18.2300,15.3003,15.3003,,,,NA (CV: profit-based metric),ok,-7.0730,0.0747,
gpt-4o|SP|axis_baseline_pooled,risk_persona,baseline (axis-pooled),gpt-4o,SP,gpt-4o|SP|axis_baseline_pooled,pooled axis1/2/3 baselines (canonical intervention baseline),"('gpt-4o', ['axis1_contingent_baseline', 'axis2_forward_baseline', 'axis3_beliefs_baseline'])",450,-2.7807,11.3805,10.3175,12.4156,93.5556,6.0000,0.4444,0.4728,0.4444,5.6460,5.7345,5.7345,67.2000,66.7556,23.8306,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|SP|risk_averse,risk_persona,risk-averse,gpt-4o,SP,gpt-4o|SP|axis_baseline_pooled,,"('gpt-4o', ['risk_averse'])",150,-4.4907,18.3293,16.7372,19.9082,99.3333,0.6667,0.0000,0.0000,0.0000,5.6460,12.6833,12.6833,67.2000,67.2000,30.8499,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,6.9488,0.0000,0.4134
gpt-4o|SP|risk_neutrality,risk_persona,risk-neutral,gpt-4o,SP,gpt-4o|SP|axis_baseline_pooled,,"('gpt-4o', ['risk_neutrality'])",150,-2.6073,11.0231,9.1946,12.8303,88.6667,8.6667,2.6667,2.9197,2.6667,5.6460,5.3771,5.3771,67.2000,64.5333,23.1442,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-0.3574,0.7367,0.0178
gpt-4o|SP|risk_seeking,risk_persona,risk-seeking,gpt-4o,SP,gpt-4o|SP|axis_baseline_pooled,,"('gpt-4o', ['risk_seeking'])",150,-0.4507,10.4762,8.8816,12.2586,54.0000,0.6667,45.3333,45.6376,45.3333,5.6460,4.8302,4.8302,67.2000,21.8667,14.7632,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-0.9043,0.3777,0.0000
claude-3-5-haiku|SP|axis_baseline_pooled,risk_persona,baseline (axis-pooled),claude-3-5-haiku,SP,claude-3-5-haiku|SP|axis_baseline_pooled,pooled axis1/2/3 baselines (canonical intervention baseline),"('claude-3-5-haiku-20241022', ['axis1_contingent_baseline', 'axis2_forward_baseline', 'axis3_beliefs_baseline'])",441,0.4830,9.5349,8.7787,10.3541,46.7120,10.4308,42.8571,47.8481,42.8571,5.6460,3.8889,3.8889,67.2000,24.3429,13.1122,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
claude-3-5-haiku|SP|risk_averse,risk_persona,risk-averse,claude-3-5-haiku,SP,claude-3-5-haiku|SP|axis_baseline_pooled,,"('claude-3-5-haiku-20241022', ['risk_averse'])",129,-3.4884,14.2383,12.6874,15.9469,98.4496,1.5504,0.0000,0.0000,0.0000,5.6460,8.5923,8.5923,67.2000,67.2000,27.2532,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,4.7033,0.0000,0.0000
claude-3-5-haiku|SP|risk_neutrality,risk_persona,risk-neutral,claude-3-5-haiku,SP,claude-3-5-haiku|SP|axis_baseline_pooled,,"('claude-3-5-haiku-20241022', ['risk_neutrality'])",147,0.7245,7.6329,6.2000,9.2628,40.8163,10.2041,48.9796,54.5455,48.9796,5.6460,1.9869,1.9869,67.2000,18.2204,13.5594,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-1.9020,0.0319,0.1957
claude-3-5-haiku|SP|risk_seeking,risk_persona,risk-seeking,claude-3-5-haiku,SP,claude-3-5-haiku|SP|axis_baseline_pooled,,"('claude-3-5-haiku-20241022', ['risk_seeking'])",150,8.4020,35.0340,32.5005,37.3376,6.6667,0.0000,93.3333,93.3333,93.3333,5.6460,29.3880,29.3880,67.2000,26.1333,26.3731,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,25.4991,0.0000,0.0000
gemini-2.0-flash|SP|axis_baseline_pooled,risk_persona,baseline (axis-pooled),gemini-2.0-flash,SP,gemini-2.0-flash|SP|axis_baseline_pooled,pooled axis1/2/3 baselines (canonical intervention baseline),"('gemini-2.0-flash', ['axis1_contingent_baseline', 'axis2_forward_baseline', 'axis3_beliefs_baseline'])",450,-2.8753,11.7433,10.3962,13.1324,90.8889,9.1111,0.0000,0.0000,0.0000,5.6460,6.0973,6.0973,67.2000,67.2000,24.2142,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gemini-2.0-flash|SP|risk_averse,risk_persona,risk-averse,gemini-2.0-flash,SP,gemini-2.0-flash|SP|axis_baseline_pooled,,"('gemini-2.0-flash', ['risk_averse'])",150,-2.9387,11.9946,9.4122,14.5960,98.0000,2.0000,0.0000,0.0000,0.0000,5.6460,6.3486,6.3486,67.2000,67.2000,24.4727,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,0.2512,0.8733,1.0000
gemini-2.0-flash|SP|risk_neutrality,risk_persona,risk-neutral,gemini-2.0-flash,SP,gemini-2.0-flash|SP|axis_baseline_pooled,,"('gemini-2.0-flash', ['risk_neutrality'])",150,-0.8353,3.4095,2.1495,4.9580,84.0000,16.0000,0.0000,0.0000,0.0000,5.6460,-2.2365,2.2365,67.2000,67.2000,19.2810,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-8.3338,0.0000,1.0000
gemini-2.0-flash|SP|risk_seeking,risk_persona,risk-seeking,gemini-2.0-flash,SP,gemini-2.0-flash|SP|axis_baseline_pooled,,"('gemini-2.0-flash', ['risk_seeking'])",138,-0.3029,4.9216,3.1233,7.0102,17.3913,0.7246,81.8841,82.4818,81.8841,5.6460,-0.7244,0.7244,67.2000,14.6841,18.9084,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-6.8217,0.0000,0.0000
gemma-3-27b|SP|axis_baseline_pooled,risk_persona,baseline (axis-pooled),gemma-3-27b,SP,gemma-3-27b|SP|axis_baseline_pooled,pooled axis1/2/3 baselines (canonical intervention baseline),"('google/gemma-3-27b-it', ['axis1_contingent_baseline', 'axis2_forward_baseline', 'axis3_beliefs_baseline'])",447,-4.5371,20.7141,19.1534,22.2557,72.0358,1.5660,26.3982,26.8182,26.3982,5.6460,15.0681,15.0681,67.2000,40.8018,30.9970,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,,,
gemma-3-27b|SP|risk_averse,risk_persona,risk-averse,gemma-3-27b,SP,gemma-3-27b|SP|axis_baseline_pooled,,"('google/gemma-3-27b-it', ['risk_averse'])",144,-7.8590,32.1117,29.6965,34.8218,98.6111,0.6944,0.6944,0.6993,0.6944,5.6460,26.4657,26.4657,67.2000,66.5056,44.5558,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,11.3976,0.0000,0.0000
gemma-3-27b|SP|risk_neutrality,risk_persona,risk-neutral,gemma-3-27b,SP,gemma-3-27b|SP|axis_baseline_pooled,,"('google/gemma-3-27b-it', ['risk_neutrality'])",138,-4.7616,20.6122,17.7816,23.5881,86.2319,4.3478,9.4203,9.8485,9.4203,5.6460,14.9662,14.9662,67.2000,57.7797,31.9132,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-0.1018,0.9523,0.0000
gemma-3-27b|SP|risk_seeking,risk_persona,risk-seeking,gemma-3-27b,SP,gemma-3-27b|SP|axis_baseline_pooled,,"('google/gemma-3-27b-it', ['risk_seeking'])",150,0.1853,5.8667,5.1891,6.5416,42.6667,1.3333,56.0000,56.7568,56.0000,5.6460,0.2207,0.2207,67.2000,11.2000,15.9895,gonczarowski_2022_synthetic_bids.csv:5000 rows,ok,-14.8474,0.0000,0.0000
gpt-4o|FP|axis_baseline_pooled,risk_persona,baseline (axis-pooled),gpt-4o,FP,gpt-4o|FP|axis_baseline_pooled,"pooled axis1/2/3 baselines, recovered V12 (unconstrained-bid gen)","[PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/axis1_contingent_baseline_first'), PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/axis2_forward_baseline_first'), PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/axis3_beliefs_baseline_first')]",450,-3.1451,23.3642,21.9328,24.6718,94.6667,5.3333,0.0000,0.0000,93.5556,24.7639,-1.3997,1.3997,0.4000,0.4000,2.9671,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|FP|intervention_risk_averse,risk_persona,risk-averse,gpt-4o,FP,gpt-4o|FP|axis_baseline_pooled,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/intervention_risk_averse_first'), None)",126,-6.1349,14.9768,12.9603,17.2588,99.2063,0.7937,0.0000,0.0000,80.1587,24.7639,-9.7871,9.7871,0.4000,0.4000,9.9183,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-8.3874,0.0000,1.0000
gpt-4o|FP|intervention_risk_neutral,risk_persona,risk-neutral,gpt-4o,FP,gpt-4o|FP|axis_baseline_pooled,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/intervention_risk_neutral_first'), None)",147,-4.1912,20.8959,18.5281,23.4122,94.5578,5.4422,0.0000,0.0000,87.7551,24.7639,-3.8680,3.8680,0.4000,0.4000,2.4642,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,-2.4682,0.0966,1.0000
gpt-4o|FP|intervention_risk_seeking,risk_persona,risk-seeking,gpt-4o,FP,gpt-4o|FP|axis_baseline_pooled,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/intervention_risk_seeking_first'), None)",150,-2.0700,27.9773,25.5481,30.5012,78.0000,4.0000,18.0000,18.7500,90.6667,24.7639,3.2134,3.2134,0.4000,17.6000,6.6747,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,4.6132,0.0019,0.0000
gpt-4o|TP3|axis_baseline_pooled,risk_persona,baseline (axis-pooled),gpt-4o,TP3,gpt-4o|TP3|axis_baseline_pooled,"pooled axis1/2/3 baselines, recovered V12 (unconstrained-bid gen)","[PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/axis1_contingent_baseline_third'), PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/axis2_forward_baseline_third'), PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/axis3_beliefs_baseline_third')]",414,-3.3983,120.1804,115.2259,125.0617,96.3768,3.3816,0.2415,0.2500,0.0000,7.6566,112.5238,112.5238,89.8000,89.5585,48.1132,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,,,
gpt-4o|TP3|intervention_risk_averse,risk_persona,risk-averse,gpt-4o,TP3,gpt-4o|TP3|axis_baseline_pooled,,"(PosixPath('/Users/kehangzh/Desktop/llm-auction/recovered_logs/experiment_logs_gpt_4o/V12/intervention_risk_averse_third'), None)",150,-5.4420,129.1782,120.4171,137.6296,99.3333,0.6667,0.0000,0.0000,0.0000,7.6566,121.5216,121.5216,89.8000,89.8000,56.4548,kagel_levin_1993_synthetic_bids.csv:5000 rows,ok,8.9978,0.0792,0.5469
