setting_id,FP,SP,TP3,worst_rank,mean_rank
temperature/T=1.0,0.2734,57.4357,87.1333,7.0,4.6667
rule_explanation/explanation ON,0.4,50.5333,70.3556,8.0,4.3333
temperature/T=0.5 (anchor),0.4,50.5333,70.3556,8.0,4.3333
rule_explanation/explanation OFF,0.4,51.2,77.215,8.0,5.3333
risk_persona/risk-neutral,0.4,64.5333,83.1333,8.0,6.6667
temperature/T=0.1,0.4,56.9959,88.4667,9.0,7.3333
prospect_frame/gain frame,0.4,66.5333,85.7184,9.5,7.8333
prospect_frame/mixed frame,0.4,66.5333,88.3507,9.5,8.5
risk_persona/baseline (axis-pooled),0.4,66.7556,89.5585,12.0,10.3333
prospect_frame/baseline (loss-aversion),0.4,66.5333,89.8,13.5,10.3333
prospect_frame/endowment,0.4,66.5333,89.8,13.5,10.3333
prospect_frame/loss frame,0.4,67.2,89.0063,14.0,10.6667
prospect_frame/WTA-WTP,0.4,67.2,89.8,14.0,11.8333
risk_persona/risk-averse,0.4,67.2,89.8,14.0,11.8333
risk_persona/risk-seeking,17.6,21.8667,33.2783,15.0,5.6667
